entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets
200000,Warrior,Pale-blue Carapace of Green Flight,4,79,195,strength_dps,armor,,5,4,55819,40781,200,1648,0.0,
200001,Warrior,Blighted Spaulders of the Silver Promise,2,39,42,strength_dps,armor,,3,3,27893,15597,42,72,0.0,
200002,Warrior,Dreamcaller's Bloodbound Helm,2,36,42,strength_dps,armor,,1,3,15340,1624,43,84,0.0,
200003,Warrior,"Wargrips, Icefang Spirit",3,43,44,strength_dps,armor,,10,4,28354,13071,45,122,0.0,
200004,Warrior,Shieldbearer's Warhelm,4,73,147,tank,armor,,1,4,49686,33730,146,862,0.0,
200005,Warrior,"Watchful War Leggings, Battlesage's Oath",3,42,43,strength_dps,armor,,7,4,27344,8162,41,205,0.0,
200006,Warrior,Deathly Great Hauberk,2,2,6,tank,armor,,5,3,13090,3471,10,13,0.0,
200007,Warrior,Stormsteel Breastplate of Moonwell,2,47,54,strength_dps,armor,,5,4,26820,14844,54,292,0.0,
200008,Warrior,"Magebound War Leggings, Frost Queen's Oath",3,74,158,strength_dps,armor,,7,4,54196,43163,158,1041,0.0,
200009,Warrior,"Doomed Zweihander, Duskcaller's Oath",2,5,7,tank,2h_sword,2h_sword,17,8,35962,23423,10,0,4.844,
200010,Warrior,Ironwarden's Dread Waistchain,2,9,12,strength_dps,armor,,6,3,27029,15492,15,14,0.0,
200011,Warrior,The Dragonforged Bracers,2,56,59,tank,armor,,9,4,26476,15797,59,94,0.0,
200012,Warrior,Warborn Sollerets,4,79,198,strength_dps,armor,,8,4,56297,44306,200,951,0.0,2
200013,Warrior,"Greaves, Ivory Talon",2,46,50,strength_dps,armor,,7,4,31626,19117,50,231,0.0,
200014,Warrior,Grave Wolf Warder Cloak,3,2,5,strength_dps,back,,16,1,24985,14149,18,2,0.0,
200015,Warrior,Waistguard of the Void Crown,3,45,47,strength_dps,armor,,6,4,19996,10788,52,132,0.0,
200016,Warrior,Sun King's Waistchain,2,33,40,strength_dps,armor,,6,3,25928,9931,43,56,0.0,
200017,Warrior,Earthwarden's Armguards,3,32,37,strength_dps,armor,,9,3,28382,10333,36,35,0.0,
200018,Warrior,Darkcaller's Winterworn Leggings,2,26,30,tank,armor,,7,3,27076,15529,29,68,0.0,
200019,Warrior,Ancient Grips of the Dark Rider,2,18,23,strength_dps,armor,,10,3,25761,6577,23,29,0.0,
200020,Warrior,Runemaster's Greaves of the Black Temple,2,74,161,tank,armor,,7,4,54825,40943,158,906,0.0,
200021,Warrior,"Warbelt, Bone Wound",2,68,118,tank,armor,,6,4,44346,25022,120,357,0.0,
200022,Warrior,Stalwart Gauntlets of the Silver Flame,3,53,54,strength_dps,armor,,10,4,29962,16737,59,153,0.0,
200023,Warrior,"Maul, Frost Torment",2,20,21,tank,2h_mace,2h_mace,17,5,28628,911,25,0,13.824,
200024,Warrior,Astral Handplates of Dawn Vanguard,2,69,125,strength_dps,armor,,10,4,51661,36302,134,371,0.0,
200025,Warrior,Gladiatorial Ring of the Dread Wyrm,2,59,89,tank,finger,,11,0,38674,28044,90,0,0.0,
200026,Warrior,Undying Armguards,2,51,56,tank,armor,,9,4,27420,10282,56,87,0.0,
200027,Warrior,Shadow Queen's Razor-edged Breastplate,2,64,106,strength_dps,armor,,5,4,39613,24992,108,654,0.0,
200028,Warrior,Deep Rebuke Battlecloak,2,10,13,strength_dps,back,,16,1,18133,5111,15,5,0.0,
200029,Warrior,Winter King's Breastplate,3,70,132,strength_dps,armor,,5,4,51660,36301,134,937,0.0,
200030,Warrior,Ancestor's Ghostly Cloak,3,46,51,strength_dps,back,,16,1,31632,19121,51,23,0.0,
200031,Warrior,Blood Queen's Great Hauberk,2,15,17,tank,armor,,5,3,37048,24348,18,43,0.0,
200032,Warrior,Talisman of Golden Dawn,3,78,189,strength_dps,neck,,2,0,52454,37794,174,0,0.0,
200033,Warrior,"Soldierly Sollerets, Rimecaller's Oath",2,43,48,strength_dps,armor,,8,4,26842,14951,47,145,0.0,
200034,Warrior,Battlesage's Necklace,2,28,29,tank,neck,,2,0,33262,20909,30,0,0.0,
200035,Warrior,"Handguards, Forge Knuckle",2,32,33,tank,armor,,10,3,6844,4465,32,45,0.0,
200036,Warrior,Moonwarden's Surcoat,2,11,13,tank,armor,,5,3,26933,3283,13,29,0.0,
200037,Warrior,Flameforged War Leggings,2,15,22,strength_dps,armor,,7,3,26998,15493,18,50,0.0,
200038,Warrior,Hallowed Beads of Dread Watch,2,74,158,strength_dps,neck,,2,0,36902,37823,166,0,0.0,
200039,Warrior,Undying Bone Crossbow of the Sun King,4,80,251,strength_dps,crossbow,crossbow,26,18,60828,42498,245,0,220.345,4
200040,Warrior,Heart of Frozen Banner,2,64,103,strength_dps,trinket,,12,0,43360,31080,105,0,0.0,
200041,Warrior,Skullbound Great Cape of the Ancient Storm,2,62,99,strength_dps,back,,16,1,37429,25489,93,43,0.0,
200042,Warrior,Armguards of Borean Expanse,3,35,42,strength_dps,armor,,9,3,18352,9409,42,39,0.0,
200043,Warrior,The Veteran Grips,3,27,34,strength_dps,armor,,10,3,18339,23170,35,49,0.0,
200044,Warrior,The Patient Warder Cloak,2,16,23,strength_dps,back,,16,1,23059,5969,23,8,0.0,
200045,Warrior,"Cuirass, North Whisper",4,40,43,tank,armor,,5,4,28694,10775,42,259,0.0,
200046,Warrior,Cruel Bracers of the Broken Hall,3,13,16,tank,armor,,9,3,24982,14147,18,13,0.0,
200047,Warrior,Tombforged Bracers of the Pale Watch,3,73,148,strength_dps,armor,,9,4,50994,39680,155,319,0.0,
200048,Warrior,Great Pauldrons of Kaskala,3,77,181,strength_dps,armor,,3,4,55696,44112,187,871,0.0,4
200049,Warrior,Frostwarden's Waistchain,2,35,39,strength_dps,armor,,6,3,27117,15606,41,55,0.0,
200050,Warrior,Firekeeper's Boneforged Steelblade,3,52,55,strength_dps,1h_sword,1h_sword,13,7,23241,12777,56,0,36.944,
200051,Warrior,Tombwarden's Voidbound Handplates,4,79,196,tank,armor,,10,4,54432,43741,200,808,0.0,
200052,Warrior,The Earthforged Legguards,3,74,156,tank,armor,,7,4,51571,39175,154,979,0.0,
200053,Warrior,"Epaulets, North Rage",2,18,24,strength_dps,armor,,3,3,27080,15531,30,39,0.0,
200054,Warrior,Great Gauntlets of White Moon,2,76,174,tank,armor,,10,4,52050,36374,170,564,0.0,
200055,Warrior,Harness of Amphitheater,2,22,24,strength_dps,armor,,5,3,12723,1273,25,62,0.0,
200056,Warrior,Sunwarden's Wristplates,4,77,177,tank,armor,,9,4,54075,41116,175,447,0.0,4
200057,Warrior,Drakelord's War Leggings,2,29,30,strength_dps,armor,,7,3,27028,14757,32,70,0.0,
200058,Warrior,Footplates of Dread March,2,58,81,tank,armor,,8,4,45985,25561,79,262,0.0,
200059,Warrior,Moon Queen's Cuirass of the Holy Watch,2,40,47,strength_dps,armor,,5,4,16117,7935,48,239,0.0,
200060,Warrior,Bonecaller's Holy Legplates,3,49,50,strength_dps,armor,,7,4,19900,10633,51,257,0.0,
200061,Warrior,"Great Runeblade, Wolf Rebuke",2,3,5,tank,2h_sword,2h_sword,17,8,20112,4939,11,0,3.125,
200062,Warrior,Kingsworn Visor of Silent Crown,2,45,51,strength_dps,armor,,1,4,27186,14849,53,198,0.0,
200063,Warrior,Stormwrought Treads of the Ghost Moon,2,31,32,strength_dps,armor,,8,3,27065,15555,33,48,0.0,
200064,Warrior,White Caller Carapace,2,72,145,tank,armor,,5,4,56445,38114,146,912,0.0,4
200065,Warrior,Eternal Rune Amulet,2,22,26,strength_dps,neck,,2,0,9857,12028,32,0,0.0,
200066,Warrior,Dreaming Battle Girdle of Hallowed Flame,3,80,219,strength_dps,armor,,6,4,59749,45975,219,826,0.0,
200067,Warrior,Voidwarden's Battle Girdle,2,49,51,tank,armor,,6,4,27391,8315,52,133,0.0,
200068,Warrior,Greaves of Forgotten Memory,2,64,106,strength_dps,armor,,8,4,39615,24991,108,362,0.0,4
200069,Warrior,Ashwarden's Girdle of the Frozen Forge,2,6,11,strength_dps,armor,,6,3,7563,5328,15,12,0.0,
200070,Warrior,Bright Bane Helm,3,74,161,tank,armor,,1,4,52304,40293,162,883,0.0,
200071,Warrior,Titanic Waistchain,2,7,13,tank,armor,,6,3,25757,6548,16,16,0.0,
200072,Warrior,Graveborn Bracers,3,33,39,strength_dps,armor,,9,3,28436,13199,41,36,0.0,
200073,Warrior,Nightkeeper's Bearhide Collar,2,66,110,strength_dps,neck,,2,0,39390,25065,102,0,0.0,
200074,Warrior,Wintertouched Circle,3,22,26,tank,finger,,11,0,14433,6321,26,0,0.0,
200075,Warrior,Warbelt of the Cold Flame,4,78,189,strength_dps,armor,,6,4,60017,40966,200,775,0.0,
200076,Warrior,"Briarbound Slasher, Blood King's Oath",2,47,48,strength_dps,1h_sword,1h_sword,13,7,31526,19040,48,0,29.583,
200077,Warrior,Witchbound Leggings of Moon Flame,2,38,39,strength_dps,armor,,7,3,27050,14766,37,96,0.0,
200078,Warrior,Astral Great Pauldrons,3,76,176,tank,armor,,3,4,55306,43865,171,844,0.0,
200079,Warrior,Briarbound Circle,2,40,41,tank,finger,,11,0,28831,20961,38,0,0.0,
200080,Warrior,Wolf Torment Key,3,38,42,tank,trinket,,12,0,6504,1444,40,0,0.0,
200081,Warrior,Sabatons of Frost Giant,3,49,50,strength_dps,armor,,8,4,34708,34422,50,173,0.0,
200082,Warrior,Helm of Blackrock Mountain,2,34,35,strength_dps,armor,,1,3,30091,7420,33,68,0.0,
200083,Warrior,Arcanized Wrap of the Broken Promise,3,57,64,strength_dps,back,,16,1,32067,19530,63,29,0.0,
200084,Warrior,War Leggings of the Emerald Moon,2,5,12,tank,armor,,7,3,3058,6337,12,24,0.0,
200085,Warrior,Duskrun Sollerets of Blood Ritual,3,80,187,tank,armor,,8,4,53001,37082,187,825,0.0,
200086,Warrior,Wildwoven Bracers of the Silver Hand,4,80,239,strength_dps,armor,,9,4,62004,47093,245,618,0.0,8|2|4
200087,Warrior,The Bright Pendant,3,76,175,strength_dps,neck,,2,0,53407,42338,167,0,0.0,
200088,Warrior,Titanforged Orb of Raven Spirit,2,57,62,strength_dps,trinket,,12,0,31475,17690,60,0,0.0,
200089,Warrior,"Band, Emerald Echo",2,65,111,strength_dps,finger,,11,0,39124,31382,109,0,0.0,
200090,Warrior,Runespear of the Howling Wind,2,5,10,strength_dps,polearm,polearm,17,6,5638,1406,21,0,5.938,
200091,Warrior,Dreadbound Hauberk,2,5,6,strength_dps,armor,,5,3,13090,3471,10,13,0.0,
200092,Warrior,Ancient Banner Great Warhammer,3,51,55,strength_dps,2h_mace,2h_mace,17,5,25625,11921,57,0,45.938,
200093,Warrior,Handguards of the Earthshaper,3,65,112,tank,armor,,10,4,40830,27475,115,375,0.0,
200094,Warrior,Goldsteel Greaves of the Dalaran Watch,2,5,11,strength_dps,armor,,8,3,6885,6350,18,15,0.0,
200095,Warrior,The Mystwoven Legplates,3,69,127,strength_dps,armor,,7,4,50506,37743,130,765,0.0,
200096,Warrior,Stormsteel Shard of the Frost Oath,3,78,185,tank,trinket,,12,0,19785,37111,187,0,0.0,
200097,Warrior,Dragon King's Boots of the Hearthguard,2,15,20,tank,armor,,8,3,25765,2991,21,28,0.0,
