equivalence_group,RequiredLevel,ItemLevel,quality,eligible_profile_count,items_placed,dominant_profile,dominant_profile_share,distribution_entropy,warning
item-level=100;required-level=62;candidate-band=96-106-62-67,62,100,2,1,131,map_557_difficulty_0,1.0,-0.0,False
item-level=100;required-level=62;candidate-band=96-106-62-67,62,100,3,1,115,map_557_difficulty_0,1.0,-0.0,False
item-level=100;required-level=63;candidate-band=96-106-62-67,63,100,2,1,115,map_557_difficulty_0,1.0,-0.0,False
item-level=100;required-level=63;candidate-band=96-106-62-67,63,100,3,1,103,map_557_difficulty_0,1.0,-0.0,False
item-level=101;required-level=62;candidate-band=96-106-62-67,62,101,2,1,22,map_557_difficulty_0,1.0,-0.0,False
item-level=101;required-level=62;candidate-band=96-106-62-67,62,101,3,1,27,map_557_difficulty_0,1.0,-0.0,False
item-level=101;required-level=63;candidate-band=96-106-62-67,63,101,2,1,113,map_557_difficulty_0,1.0,-0.0,False
item-level=101;required-level=63;candidate-band=96-106-62-67,63,101,3,1,95,map_557_difficulty_0,1.0,-0.0,False
item-level=102;required-level=63;candidate-band=96-106-62-67,63,102,2,1,116,map_557_difficulty_0,1.0,-0.0,False
item-level=102;required-level=63;candidate-band=96-106-62-67,63,102,3,1,87,map_557_difficulty_0,1.0,-0.0,False
item-level=102;required-level=64;candidate-band=96-106-62-67,64,102,2,1,23,map_557_difficulty_0,1.0,-0.0,False
item-level=102;required-level=64;candidate-band=96-106-62-67,64,102,3,1,26,map_557_difficulty_0,1.0,-0.0,False
item-level=103;required-level=63;candidate-band=96-106-62-67,63,103,2,1,120,map_557_difficulty_0,1.0,-0.0,False
item-level=103;required-level=63;candidate-band=96-106-62-67,63,103,3,1,114,map_557_difficulty_0,1.0,-0.0,False
item-level=103;required-level=64;candidate-band=96-106-62-67,64,103,2,1,128,map_557_difficulty_0,1.0,-0.0,False
item-level=103;required-level=64;candidate-band=96-106-62-67,64,103,3,1,107,map_557_difficulty_0,1.0,-0.0,False
item-level=104;required-level=63;candidate-band=96-106-62-67,63,104,2,1,107,map_557_difficulty_0,1.0,-0.0,False
item-level=104;required-level=63;candidate-band=96-106-62-67,63,104,3,1,99,map_557_difficulty_0,1.0,-0.0,False
item-level=104;required-level=64;candidate-band=96-106-62-67,64,104,2,1,116,map_557_difficulty_0,1.0,-0.0,False
item-level=104;required-level=64;candidate-band=96-106-62-67,64,104,3,1,101,map_557_difficulty_0,1.0,-0.0,False
item-level=105;required-level=64;candidate-band=96-106-62-67,64,105,2,1,113,map_557_difficulty_0,1.0,-0.0,False
item-level=105;required-level=64;candidate-band=96-106-62-67,64,105,3,1,106,map_557_difficulty_0,1.0,-0.0,False
item-level=106;required-level=64;candidate-band=96-106-62-67,64,106,2,1,101,map_557_difficulty_0,1.0,-0.0,False
item-level=106;required-level=64;candidate-band=96-106-62-67,64,106,3,1,95,map_557_difficulty_0,1.0,-0.0,False
item-level=106;required-level=65;candidate-band=96-106-62-67,65,106,2,1,45,map_557_difficulty_0,1.0,-0.0,False
item-level=106;required-level=65;candidate-band=96-106-62-67,65,106,3,1,41,map_557_difficulty_0,1.0,-0.0,False
item-level=112;required-level=68;candidate-band=110-115-68-70,68,112,4,1,10,map_542_difficulty_1,1.0,-0.0,False
"item-level=112;required-level=68;candidate-band=110-115-68-70,112-112-68-68,112-115-68-70",68,112,2,10,82,map_555_difficulty_1,0.13414634146341464,2.2726771883464854,False
"item-level=112;required-level=68;candidate-band=110-115-68-70,112-112-68-68,112-115-68-70",68,112,3,10,67,map_543_difficulty_1,0.13432835820895522,2.2706157790644923,False
item-level=113;required-level=68;candidate-band=110-115-68-70,68,113,4,1,9,map_542_difficulty_1,1.0,-0.0,False
"item-level=113;required-level=68;candidate-band=110-115-68-70,112-115-68-70",68,113,2,8,68,map_555_difficulty_0,0.17647058823529413,2.049714961056433,False
"item-level=113;required-level=68;candidate-band=110-115-68-70,112-115-68-70",68,113,3,8,66,map_555_difficulty_1,0.19696969696969696,1.9866850576342234,False
item-level=114;required-level=68;candidate-band=110-115-68-70,68,114,4,1,5,map_542_difficulty_1,1.0,-0.0,False
"item-level=114;required-level=68;candidate-band=110-115-68-70,112-115-68-70",68,114,2,8,86,map_555_difficulty_0,0.20930232558139536,1.9855360422815906,False
"item-level=114;required-level=68;candidate-band=110-115-68-70,112-115-68-70",68,114,3,8,76,map_543_difficulty_1,0.2631578947368421,1.986273055000399,False
item-level=115;required-level=68;candidate-band=110-115-68-70,68,115,4,1,11,map_542_difficulty_1,1.0,-0.0,False
"item-level=115;required-level=68;candidate-band=110-115-68-70,112-115-68-70,115-115-68-70",68,115,2,9,67,map_543_difficulty_1,0.1791044776119403,2.14844215965771,False
"item-level=115;required-level=68;candidate-band=110-115-68-70,112-115-68-70,115-115-68-70",68,115,3,9,72,map_545_difficulty_0,0.16666666666666666,2.1425620145807316,False
item-level=128;required-level=70;candidate-band=128-128-70-70,70,128,2,3,69,map_550_difficulty_0,0.42028985507246375,1.0557167702091448,False
item-level=128;required-level=70;candidate-band=128-128-70-70,70,128,3,3,87,map_548_difficulty_0,0.41379310344827586,1.0789978332763004,False
item-level=128;required-level=70;candidate-band=128-128-70-70,70,128,4,3,25,map_550_difficulty_0,0.52,1.018359734765894,False
