reference_id,parent_target_type,parent_target_entry,effective_target_entry,parent_loot_id,map_id,difficulty_id,parent_loot_mode,reference_loot_mode,consumer_map_count,consumer_profile_count,verified_parent,provenance_depth
-34377,creature,31311,31311,31311,615,1,1,1,1,1,False,0
1055,creature,4805,4805,4805,48,0,1,1,2,2,False,0
1056,creature,4851,4851,4851,70,0,1,1,2,2,False,0
1056,creature,4852,4852,4852,70,0,1,1,2,2,False,0
4113,creature,28194,28194,28194,532,0,1,1,2,2,False,0
12018,creature,20169,20169,20169,546,1,1,1,1,1,True,0
12023,gameobject,194822,194822,26974,603,1,1,1,0,0,False,0
12030,gameobject,194957,194957,27086,603,0,1,1,0,0,False,0
12031,gameobject,194958,194958,26967,603,1,1,1,0,0,False,0
12034,creature,33288,33288,33288,603,0,1,1,0,0,False,0
12035,creature,33955,33955,33955,603,1,1,1,0,0,False,0
14001,creature,15318,15318,15318,509,0,1,1,1,1,True,0
14001,creature,15319,15319,15319,509,0,1,1,1,1,True,0
14001,creature,15320,15320,15320,509,0,1,1,1,1,True,0
14001,creature,15323,15323,15323,509,0,1,1,1,1,True,0
14001,creature,15324,15324,15324,509,0,1,1,1,1,True,0
14001,creature,15325,15325,15325,509,0,1,1,1,1,True,0
14001,creature,15327,15327,15327,509,0,1,1,1,1,True,0
14001,creature,15333,15333,15333,509,0,1,1,1,1,True,0
14001,creature,15335,15335,15335,509,0,1,1,1,1,True,0
14001,creature,15336,15336,15336,509,0,1,1,1,1,True,0
14001,creature,15338,15338,15338,509,0,1,1,1,1,True,0
14001,creature,15343,15343,15343,509,0,1,1,1,1,True,0
14001,creature,15355,15355,15355,509,0,1,1,1,1,True,0
14001,creature,15385,15385,15385,509,0,1,1,1,1,True,0
14001,creature,15386,15386,15386,509,0,1,1,1,1,True,0
14001,creature,15388,15388,15388,509,0,1,1,1,1,True,0
14001,creature,15389,15389,15389,509,0,1,1,1,1,True,0
14001,creature,15390,15390,15390,509,0,1,1,1,1,True,0
14001,creature,15391,15391,15391,509,0,1,1,1,1,True,0
14001,creature,15392,15392,15392,509,0,1,1,1,1,True,0
14001,creature,15461,15461,15461,509,0,1,1,1,1,True,0
14001,creature,15462,15462,15462,509,0,1,1,1,1,True,0
24005,creature,18314,18314,18314,557,0,1,1,1,2,True,0
24005,creature,20264,20264,20264,557,1,1,1,1,2,True,0
24007,creature,19306,19306,19306,557,0,1,1,2,3,False,0
24007,creature,20263,20263,19306,557,1,1,1,2,3,False,0
24009,creature,17722,17722,17722,545,0,1,1,3,5,False,0
24009,creature,17800,17800,17800,545,0,1,1,3,5,False,0
24009,creature,21694,21694,21694,545,0,1,1,3,5,False,0
24009,creature,20621,20621,17800,545,1,1,1,3,5,False,0
24009,creature,20625,20625,17722,545,1,1,1,3,5,False,0
24009,creature,21914,21914,21694,545,1,1,1,3,5,False,0
24009,creature,19306,19306,19306,557,0,1,1,3,5,False,0
24009,creature,20263,20263,19306,557,1,1,1,3,5,False,0
24010,creature,19306,19306,19306,557,0,1,1,1,2,True,0
24010,creature,20263,20263,19306,557,1,1,1,1,2,True,0
24011,creature,23397,23397,23397,564,0,1,1,3,3,False,0
24013,creature,23397,23397,23397,564,0,1,1,2,2,False,0
24016,creature,10503,10503,10503,289,0,1,1,9,12,False,0
24016,creature,10439,10439,10439,329,0,1,1,9,12,False,0
24016,creature,11032,11032,11032,329,0,1,1,9,12,False,0
24016,creature,11659,11659,11659,409,0,1,1,9,12,False,0
24016,creature,14308,14308,14308,429,0,1,1,9,12,False,0
24016,creature,12460,12460,12460,469,0,1,1,9,12,False,0
24016,creature,15385,15385,15385,509,0,1,1,9,12,False,0
24016,creature,15392,15392,15392,509,0,1,1,9,12,False,0
24017,creature,11032,11032,11032,329,0,1,1,7,9,False,0
24017,creature,11659,11659,11659,409,0,1,1,7,9,False,0
24017,creature,12460,12460,12460,469,0,1,1,7,9,False,0
24017,creature,15386,15386,15386,509,0,1,1,7,9,False,0
24018,creature,11032,11032,11032,329,0,1,1,10,13,False,0
24018,creature,11659,11659,11659,409,0,1,1,10,13,False,0
24018,creature,14308,14308,14308,429,0,1,1,10,13,False,0
24018,creature,12460,12460,12460,469,0,1,1,10,13,False,0
24018,creature,15385,15385,15385,509,0,1,1,10,13,False,0
24018,creature,15386,15386,15386,509,0,1,1,10,13,False,0
24018,creature,15388,15388,15388,509,0,1,1,10,13,False,0
24018,creature,15389,15389,15389,509,0,1,1,10,13,False,0
24018,creature,15390,15390,15390,509,0,1,1,10,13,False,0
24018,creature,15391,15391,15391,509,0,1,1,10,13,False,0
24018,creature,15392,15392,15392,509,0,1,1,10,13,False,0
24018,creature,15252,15252,15252,531,0,1,1,10,13,False,0
24018,creature,15311,15311,15311,531,0,1,1,10,13,False,0
24018,creature,19306,19306,19306,557,0,1,1,10,13,False,0
24018,creature,20263,20263,19306,557,1,1,1,10,13,False,0
24019,creature,11032,11032,11032,329,0,1,1,8,10,False,0
24019,creature,11659,11659,11659,409,0,1,1,8,10,False,0
24019,creature,12460,12460,12460,469,0,1,1,8,10,False,0
24019,creature,15385,15385,15385,509,0,1,1,8,10,False,0
24019,creature,15386,15386,15386,509,0,1,1,8,10,False,0
24019,creature,15388,15388,15388,509,0,1,1,8,10,False,0
24019,creature,15389,15389,15389,509,0,1,1,8,10,False,0
24019,creature,15390,15390,15390,509,0,1,1,8,10,False,0
24019,creature,15391,15391,15391,509,0,1,1,8,10,False,0
24019,creature,15392,15392,15392,509,0,1,1,8,10,False,0
24019,creature,15252,15252,15252,531,0,1,1,8,10,False,0
24019,creature,15311,15311,15311,531,0,1,1,8,10,False,0
24020,creature,11659,11659,11659,409,0,1,1,8,9,False,0
24020,creature,14308,14308,14308,429,0,1,1,8,9,False,0
24020,creature,12460,12460,12460,469,0,1,1,8,9,False,0
24020,creature,15385,15385,15385,509,0,1,1,8,9,False,0
24020,creature,15386,15386,15386,509,0,1,1,8,9,False,0
24020,creature,15388,15388,15388,509,0,1,1,8,9,False,0
24020,creature,15389,15389,15389,509,0,1,1,8,9,False,0
24020,creature,15390,15390,15390,509,0,1,1,8,9,False,0
24020,creature,15391,15391,15391,509,0,1,1,8,9,False,0
24020,creature,15392,15392,15392,509,0,1,1,8,9,False,0
24020,creature,15252,15252,15252,531,0,1,1,8,9,False,0
24020,creature,15311,15311,15311,531,0,1,1,8,9,False,0
24021,creature,11032,11032,11032,329,0,1,1,4,6,False,0
24024,creature,9541,9541,9541,230,0,1,1,7,10,False,0
24024,creature,9677,9677,9677,230,0,1,1,7,10,False,0
24024,creature,9678,9678,9678,230,0,1,1,7,10,False,0
24024,creature,9680,9680,9680,230,0,1,1,7,10,False,0
24024,creature,9681,9681,9681,230,0,1,1,7,10,False,0
24024,creature,9956,9956,9956,230,0,1,1,7,10,False,0
24024,creature,10043,10043,10043,230,0,1,1,7,10,False,0
24024,creature,11032,11032,11032,329,0,1,1,7,10,False,0
24024,creature,11659,11659,11659,409,0,1,1,7,10,False,0
24025,creature,7272,7272,7272,209,0,1,1,6,9,False,0
24025,creature,7795,7795,7795,209,0,1,1,6,9,False,0
24025,creature,10043,10043,10043,230,0,1,1,6,9,False,0
24025,creature,11783,11783,11783,349,0,1,1,6,9,False,0
24025,creature,12207,12207,12207,349,0,1,1,6,9,False,0
24026,creature,10043,10043,10043,230,0,1,1,5,8,False,0
24026,creature,12207,12207,12207,349,0,1,1,5,8,False,0
24027,creature,9541,9541,9541,230,0,1,1,4,7,False,0
24027,creature,9677,9677,9677,230,0,1,1,4,7,False,0
24027,creature,9680,9680,9680,230,0,1,1,4,7,False,0
24027,creature,9681,9681,9681,230,0,1,1,4,7,False,0
24027,creature,9956,9956,9956,230,0,1,1,4,7,False,0
24027,creature,10043,10043,10043,230,0,1,1,4,7,False,0
24028,creature,10043,10043,10043,230,0,1,1,4,7,False,0
24029,creature,9541,9541,9541,230,0,1,1,4,7,False,0
24029,creature,9677,9677,9677,230,0,1,1,4,7,False,0
24029,creature,9678,9678,9678,230,0,1,1,4,7,False,0
24029,creature,9680,9680,9680,230,0,1,1,4,7,False,0
24029,creature,9681,9681,9681,230,0,1,1,4,7,False,0
24029,creature,9956,9956,9956,230,0,1,1,4,7,False,0
24029,creature,10043,10043,10043,230,0,1,1,4,7,False,0
24030,creature,10043,10043,10043,230,0,1,1,4,7,False,0
24031,creature,9541,9541,9541,230,0,1,1,4,7,False,0
24031,creature,9677,9677,9677,230,0,1,1,4,7,False,0
24031,creature,9678,9678,9678,230,0,1,1,4,7,False,0
24031,creature,9680,9680,9680,230,0,1,1,4,7,False,0
24031,creature,9681,9681,9681,230,0,1,1,4,7,False,0
24031,creature,9956,9956,9956,230,0,1,1,4,7,False,0
24033,creature,9677,9677,9677,230,0,1,1,7,10,False,0
24033,creature,9678,9678,9678,230,0,1,1,7,10,False,0
24033,creature,9956,9956,9956,230,0,1,1,7,10,False,0
24033,creature,11032,11032,11032,329,0,1,1,7,10,False,0
24033,creature,14308,14308,14308,429,0,1,1,7,10,False,0
24033,creature,12460,12460,12460,469,0,1,1,7,10,False,0
24034,creature,11032,11032,11032,329,0,1,1,4,6,False,0
24035,creature,19306,19306,19306,557,0,1,1,2,3,False,0
24035,creature,20263,20263,19306,557,1,1,1,2,3,False,0
24036,creature,10120,10120,10120,70,0,1,1,10,13,False,0
24036,creature,7272,7272,7272,209,0,1,1,10,13,False,0
24036,creature,7604,7604,7604,209,0,1,1,10,13,False,0
24036,creature,7605,7605,7605,209,0,1,1,10,13,False,0
24036,creature,7606,7606,7606,209,0,1,1,10,13,False,0
24036,creature,7608,7608,7608,209,0,1,1,10,13,False,0
24036,creature,7795,7795,7795,209,0,1,1,10,13,False,0
24036,creature,7797,7797,7797,209,0,1,1,10,13,False,0
24036,creature,9541,9541,9541,230,0,1,1,10,13,False,0
24036,creature,9677,9677,9677,230,0,1,1,10,13,False,0
24036,creature,9678,9678,9678,230,0,1,1,10,13,False,0
24036,creature,9680,9680,9680,230,0,1,1,10,13,False,0
24036,creature,9681,9681,9681,230,0,1,1,10,13,False,0
24036,creature,9956,9956,9956,230,0,1,1,10,13,False,0
24036,creature,10043,10043,10043,230,0,1,1,10,13,False,0
24036,creature,11032,11032,11032,329,0,1,1,10,13,False,0
24036,creature,11659,11659,11659,409,0,1,1,10,13,False,0
24037,creature,4293,4293,4293,189,0,1,1,5,5,False,0
