set_id,set_name,entry,name,slot,profile_id,encounter,atomic_profile
925,Warplate of the Drowned Hall,200892,Gauntlets of the Drowned Hall,hands,,,
927,Battleplate of the Icecrown Citadel,201417,Chestguard of the Icecrown Citadel,chest,,,
927,Battleplate of the Icecrown Citadel,201718,Gauntlets of the Icecrown Citadel,hands,,,
925,Warplate of the Drowned Hall,203909,Legguards of the Drowned Hall,legs,,,
925,Warplate of the Drowned Hall,205739,Chestguard of the Drowned Hall,chest,,,
927,Battleplate of the Icecrown Citadel,206131,Helm of the Icecrown Citadel,head,,,
925,Warplate of the Drowned Hall,206874,Pauldrons of the Drowned Hall,shoulder,,,
927,Battleplate of the Icecrown Citadel,208679,Legguards of the Icecrown Citadel,legs,,,
925,Warplate of the Drowned Hall,209045,Helm of the Drowned Hall,head,,,
927,Battleplate of the Icecrown Citadel,209221,Pauldrons of the Icecrown Citadel,shoulder,,,
907,Battleplate of the Violet Citadel,220334,Pauldrons of the Violet Citadel,shoulder,,,
913,Warplate of the Wild Hunt,220395,Legguards of the Wild Hunt,legs,map_602_difficulty_1,boss_000561,map_602_difficulty_1
907,Battleplate of the Violet Citadel,221022,Gauntlets of the Violet Citadel,hands,,,
920,Battlegear of the Warsong Clan,222355,Gauntlets of the Warsong Clan,hands,map_70_difficulty_0,boss_000549,map_70_difficulty_0
913,Warplate of the Wild Hunt,222500,Chestguard of the Wild Hunt,chest,map_602_difficulty_1,boss_000561,map_602_difficulty_1
907,Battleplate of the Violet Citadel,223884,Helm of the Violet Citadel,head,,,
928,Battleplate of the Shattered Crown,223958,Pauldrons of the Shattered Crown,shoulder,map_550_difficulty_0,boss_000730,map_550_difficulty_0
928,Battleplate of the Shattered Crown,224147,Chestguard of the Shattered Crown,chest,map_550_difficulty_0,boss_000732,map_550_difficulty_0
928,Battleplate of the Shattered Crown,224827,Helm of the Shattered Crown,head,map_550_difficulty_0,boss_000730,map_550_difficulty_0
913,Warplate of the Wild Hunt,225108,Gauntlets of the Wild Hunt,hands,map_602_difficulty_1,boss_000561,map_602_difficulty_1
920,Battlegear of the Warsong Clan,225501,Shoulderguards of the Warsong Clan,shoulder,map_70_difficulty_0,boss_000548,map_70_difficulty_0
920,Battlegear of the Warsong Clan,225510,Legplates of the Warsong Clan,legs,map_70_difficulty_0,boss_000549,map_70_difficulty_0
913,Warplate of the Wild Hunt,225514,Helm of the Wild Hunt,head,map_602_difficulty_1,boss_000561,map_602_difficulty_1
920,Battlegear of the Warsong Clan,225604,Breastplate of the Warsong Clan,chest,map_70_difficulty_0,boss_000549,map_70_difficulty_0
928,Battleplate of the Shattered Crown,226180,Gauntlets of the Shattered Crown,hands,map_550_difficulty_0,boss_000732,map_550_difficulty_0
920,Battlegear of the Warsong Clan,227735,Helm of the Warsong Clan,head,map_70_difficulty_0,boss_000547,map_70_difficulty_0
913,Warplate of the Wild Hunt,227852,Pauldrons of the Wild Hunt,shoulder,map_602_difficulty_1,boss_000561,map_602_difficulty_1
928,Battleplate of the Shattered Crown,228105,Legguards of the Shattered Crown,legs,map_550_difficulty_0,boss_000732,map_550_difficulty_0
907,Battleplate of the Violet Citadel,228221,Chestguard of the Violet Citadel,chest,,,
907,Battleplate of the Violet Citadel,228580,Legguards of the Violet Citadel,legs,,,
909,Battlegear of the Ulduar Watch,260078,Legplates of the Ulduar Watch,legs,,,
902,Harness of the Black Citadel,260969,Tunic of the Black Citadel,chest,,,
909,Battlegear of the Ulduar Watch,261054,Gauntlets of the Ulduar Watch,hands,,,
909,Battlegear of the Ulduar Watch,261294,Breastplate of the Ulduar Watch,chest,,,
902,Harness of the Black Citadel,261828,Headguard of the Black Citadel,head,,,
940,Harness of the Ebon Watch,262167,Tunic of the Ebon Watch,chest,,,
902,Harness of the Black Citadel,262383,Handguards of the Black Citadel,hands,,,
935,Harness of the Bone Wastes,263696,Shoulderpads of the Bone Wastes,shoulder,map_555_difficulty_0,boss_000209,map_555_difficulty_0
935,Harness of the Bone Wastes,264296,Handguards of the Bone Wastes,hands,map_555_difficulty_0,boss_000210,map_555_difficulty_0
940,Harness of the Ebon Watch,264600,Legguards of the Ebon Watch,legs,,,
935,Harness of the Bone Wastes,265081,Headguard of the Bone Wastes,head,map_555_difficulty_0,boss_000209,map_555_difficulty_0
935,Harness of the Bone Wastes,265312,Tunic of the Bone Wastes,chest,map_555_difficulty_0,boss_000210,map_555_difficulty_0
902,Harness of the Black Citadel,266308,Shoulderpads of the Black Citadel,shoulder,,,
909,Battlegear of the Ulduar Watch,266360,Helm of the Ulduar Watch,head,,,
935,Harness of the Bone Wastes,267177,Legguards of the Bone Wastes,legs,map_555_difficulty_0,boss_000210,map_555_difficulty_0
940,Harness of the Ebon Watch,268041,Headguard of the Ebon Watch,head,,,
940,Harness of the Ebon Watch,268238,Handguards of the Ebon Watch,hands,,,
902,Harness of the Black Citadel,268299,Legguards of the Black Citadel,legs,,,
909,Battlegear of the Ulduar Watch,268510,Shoulderguards of the Ulduar Watch,shoulder,,,
940,Harness of the Ebon Watch,268546,Shoulderpads of the Ebon Watch,shoulder,,,
905,Raiment of the Dragonblight Vanguard,280562,Robes of the Dragonblight Vanguard,chest,,,
905,Raiment of the Dragonblight Vanguard,280907,Leggings of the Dragonblight Vanguard,legs,,,
905,Raiment of the Dragonblight Vanguard,280921,Mantle of the Dragonblight Vanguard,shoulder,,,
905,Raiment of the Dragonblight Vanguard,282324,Cowl of the Dragonblight Vanguard,head,,,
