parent_reference,world_loot_level,bracket,pool_id,synthetic_item_key,chance,group_id
1000005,5,01-19,3000000,2001000005,2.0,0
1000006,6,01-19,3000000,2001000006,2.0,0
1000007,7,01-19,3000000,2001000007,2.0,0
1000008,8,01-19,3000000,2001000008,2.0,0
1000009,9,01-19,3000000,2001000009,2.0,0
1000010,10,01-19,3000000,2001000010,2.0,0
1000011,11,01-19,3000000,2001000011,2.0,0
1000012,12,01-19,3000000,2001000012,2.0,0
1000013,13,01-19,3000000,2001000013,2.0,0
1000014,14,01-19,3000000,2001000014,2.0,0
1000015,15,01-19,3000000,2001000015,2.0,0
1000016,16,01-19,3000000,2001000016,2.0,0
1000017,17,01-19,3000000,2001000017,2.0,0
1000018,18,01-19,3000000,2001000018,2.0,0
1000019,19,01-19,3000000,2001000019,2.0,0
1000020,20,20-39,3000001,2001000020,2.0,0
1000021,21,20-39,3000001,2001000021,2.0,0
1000022,22,20-39,3000001,2001000022,2.0,0
1000023,23,20-39,3000001,2001000023,2.0,0
1000024,24,20-39,3000001,2001000024,2.0,0
1000025,25,20-39,3000001,2001000025,2.0,0
1000026,26,20-39,3000001,2001000026,2.0,0
1000027,27,20-39,3000001,2001000027,2.0,0
1000028,28,20-39,3000001,2001000028,2.0,0
1000029,29,20-39,3000001,2001000029,2.0,0
1000030,30,20-39,3000001,2001000030,2.0,0
1000031,31,20-39,3000001,2001000031,2.0,0
1000032,32,20-39,3000001,2001000032,2.0,0
1000033,33,20-39,3000001,2001000033,2.0,0
1000034,34,20-39,3000001,2001000034,2.0,0
1000035,35,20-39,3000001,2001000035,2.0,0
1000036,36,20-39,3000001,2001000036,2.0,0
1000037,37,20-39,3000001,2001000037,2.0,0
1000038,38,20-39,3000001,2001000038,2.0,0
1000039,39,20-39,3000001,2001000039,2.0,0
1000040,40,40-59,3000002,2001000040,2.0,0
1000041,41,40-59,3000002,2001000041,2.0,0
1000042,42,40-59,3000002,2001000042,2.0,0
1000043,43,40-59,3000002,2001000043,2.0,0
1000044,44,40-59,3000002,2001000044,2.0,0
1000045,45,40-59,3000002,2001000045,2.0,0
1000046,46,40-59,3000002,2001000046,2.0,0
1000047,47,40-59,3000002,2001000047,2.0,0
1000048,48,40-59,3000002,2001000048,2.0,0
1000049,49,40-59,3000002,2001000049,2.0,0
1000050,50,40-59,3000002,2001000050,2.0,0
1000051,51,40-59,3000002,2001000051,2.0,0
