ID,ClassID,SubclassID,SoundOverrideSubclassID,Material,DisplayInfoID,InventoryType,SheatheType
17,4,4,-1,6,7016,4,3
25,2,7,-1,1,1542,21,3
35,2,10,-1,2,472,17,2
36,2,4,-1,2,5194,21,3
37,2,0,-1,1,14029,21,3
38,4,0,-1,7,9891,4,0
39,4,1,-1,7,9892,7,0
40,4,0,-1,7,10141,8,0
41,4,0,-1,7,4553,6,0
42,4,0,-1,7,4562,6,0
43,4,0,-1,7,9938,8,0
44,4,1,-1,7,9937,7,0
45,4,0,-1,7,3265,4,0
46,4,0,-1,7,4528,6,0
47,4,0,-1,7,9915,8,0
48,4,1,-1,7,9913,7,0
49,4,0,-1,7,9906,4,0
50,4,0,-1,7,4535,6,0
51,4,0,-1,7,9946,8,0
52,4,1,-1,7,9945,7,0
53,4,0,-1,7,9944,4,0
54,4,0,-1,7,4541,6,0
55,4,0,-1,7,9929,8,0
56,4,1,-1,7,12647,20,0
57,4,1,-1,7,12645,20,0
58,4,0,-1,7,4499,6,0
59,4,0,-1,7,3261,8,0
60,4,2,-1,8,16891,5,0
61,4,2,-1,8,16953,7,0
77,4,1,-1,7,2645,5,0
79,4,1,-1,7,16847,7,0
80,4,1,-1,7,16854,8,0
85,4,2,-1,8,16883,5,0
86,4,0,-1,7,4525,6,0
87,4,0,-1,7,261,8,0
88,4,1,-1,7,374,7,0
89,4,0,-1,7,7848,4,0
90,4,0,-1,7,4519,6,0
91,4,1,-1,7,368,7,0
92,4,0,-1,7,249,8,0
93,4,0,-1,7,369,4,0
94,4,0,-1,7,4522,6,0
95,4,0,-1,7,242,8,0
97,4,1,-1,7,12662,20,0
98,4,0,-1,7,4524,6,0
99,4,0,-1,7,257,8,0
100,4,1,-1,7,372,7,0
101,4,0,-1,7,373,4,0
102,4,0,-1,7,4523,6,0
103,4,0,-1,7,5901,8,0
104,4,1,-1,7,370,7,0
105,4,0,-1,7,371,4,0
113,4,1,-1,7,365,7,0
114,4,0,-1,7,245,8,0
115,4,0,-1,7,4517,6,0
117,0,5,-1,-1,2473,0,0
118,0,1,-1,3,15710,0,0
119,4,0,-1,7,5702,4,0
120,4,1,-1,7,10006,7,0
121,4,0,-1,7,10008,8,0
122,4,0,-1,7,4538,6,0
123,4,0,-1,7,383,4,0
124,4,1,-1,7,3268,7,0
125,4,0,-1,7,3269,8,0
126,4,0,-1,7,4543,6,0
127,4,0,-1,7,9996,4,0
128,4,1,-1,7,396,7,0
129,4,0,-1,7,9977,8,0
130,4,0,-1,7,4572,6,0
131,4,0,-1,7,4542,6,0
132,4,0,-1,7,295,8,0
133,4,0,-1,7,7912,4,0
134,4,0,-1,7,387,4,0
135,4,1,-1,7,386,7,0
136,4,0,-1,7,311,8,0
137,4,0,-1,7,4540,6,0
138,4,0,-1,7,9346,4,0
139,4,1,-1,7,9988,7,0
140,4,0,-1,7,9992,8,0
141,4,0,-1,7,4507,6,0
143,4,6,-1,1,2080,14,4
146,4,0,-1,7,4544,6,0
147,4,1,-1,7,9975,7,0
148,4,0,-1,7,9976,4,0
149,4,0,-1,7,4569,6,0
150,4,1,-1,7,392,7,0
151,4,0,-1,7,393,4,0
152,4,0,-1,7,4570,6,0
153,4,2,-1,8,10050,7,0
154,4,0,-1,7,10058,4,0
155,4,0,-1,7,4571,6,0
156,4,1,-1,7,394,7,0
157,4,0,-1,7,395,4,0
159,0,5,-1,-1,18084,0,0
182,12,0,-1,-1,7038,0,0
184,1,0,-1,8,362,18,0
192,2,14,-1,6,5279,21,3
193,4,1,-1,7,16579,5,0
194,4,1,-1,7,16580,7,0
195,4,1,-1,7,16582,8,0
200,4,1,-1,7,16777,5,0
201,4,1,-1,7,16778,7,0
202,4,1,-1,7,16780,8,0
203,4,1,-1,7,16779,10,0
209,4,2,-1,8,17140,7,0
210,4,2,-1,8,14444,8,0
236,4,2,-1,8,14278,5,0
237,4,2,-1,8,14476,7,0
238,4,2,-1,8,14474,8,0
239,4,2,-1,8,14475,10,0
285,4,3,-1,5,16101,5,0
286,4,3,-1,5,10400,7,0
287,4,3,-1,5,12745,8,0
414,0,5,-1,-1,21904,0,0
422,0,5,-1,-1,6352,0,0
527,12,0,-1,2,7090,0,0
537,15,0,-1,2,6629,0,0
555,15,0,-1,7,11206,0,0
556,15,0,-1,2,6625,0,0
647,2,8,-1,1,20190,17,1
710,4,1,-1,7,16936,9,0
711,4,1,-1,7,16581,10,0
714,4,2,-1,8,14445,10,0
718,4,3,-1,5,6986,10,0
719,4,1,-1,7,16970,10,0
720,4,2,-1,8,2368,10,0
723,7,8,-1,8,7369,0,0
724,0,5,-1,-1,6385,0,0
725,12,0,-1,8,6671,0,0
727,2,7,-1,1,26577,13,3
728,9,5,-1,2,1102,0,0
729,7,8,-1,4,7407,0,0
730,7,8,-1,4,7394,0,0
731,7,8,-1,4,8802,0,0
732,12,0,-1,-1,7395,0,0
733,0,5,-1,7,6428,0,0
734,12,0,-1,-1,7093,0,0
735,12,0,-1,-1,7093,0,0
737,12,0,-1,-1,926,0,0
738,12,0,-1,-1,1297,0,0
739,12,0,-1,-1,11994,0,0
740,12,0,-1,-1,11998,0,0
741,7,7,-1,1,7391,0,0
742,12,0,-1,2,928,0,0
743,12,0,-1,2,929,0,0
744,4,0,-1,4,18059,12,0
745,12,0,-1,-1,1102,0,0
746,4,0,-1,7,3865,19,0
748,12,0,-1,-1,1102,0,0
750,12,0,-1,-1,1116,0,0
751,2,4,-1,2,1515,21,3
752,12,0,-1,7,1272,0,0
753,2,7,-1,1,20094,13,3
754,2,7,-1,1,20218,13,3
755,15,0,-1,-1,6677,0,0
756,2,1,-1,1,6264,17,1
759,7,0,-1,2,942,0,0
761,0,8,-1,8,1208,0,0
763,4,2,-1,8,17007,9,0
765,7,9,-1,2,18088,0,0
766,2,4,-1,2,19621,21,3
767,2,10,-1,2,20443,17,2
768,2,0,-1,1,5012,21,3
769,7,8,-1,4,6348,0,0
770,15,0,-1,-1,6630,0,0
771,15,0,-1,-1,1225,0,0
772,12,0,-1,-1,7066,0,0
773,12,0,-1,-1,7137,0,0
774,3,7,-1,-1,6663,0,0
776,2,15,-1,1,6452,13,3
777,15,0,-1,-1,959,0,0
778,2,0,-1,1,6259,21,1
779,15,0,-1,-1,7714,0,0
780,12,0,-1,-1,6628,0,0
781,2,4,-1,2,19644,21,3
782,12,0,-1,7,1329,0,0
783,7,6,-1,8,6687,0,0
784,7,11,-1,-1,1438,0,0
785,7,9,-1,2,7341,0,0
786,7,7,-1,1,7391,0,0
787,0,5,-1,8,24697,0,0
788,2,7,-1,1,5750,21,3
789,2,4,-1,2,19699,21,3
790,2,0,-1,1,19401,21,3
791,2,10,-1,2,20334,17,2
792,4,1,-1,7,16855,8,0
793,4,1,-1,7,14449,10,0
794,4,1,-1,7,14450,7,0
795,4,1,-1,7,14154,5,0
796,4,2,-1,8,22973,8,0
797,4,2,-1,8,17068,10,0
798,4,2,-1,8,22972,7,0
799,4,2,-1,8,2106,5,0
804,1,0,-1,8,2588,18,0
805,1,0,-1,8,2586,18,0
806,1,0,-1,-1,2585,18,0
807,7,7,-1,1,7356,0,0
808,7,11,-1,-1,7353,0,0
809,2,7,-1,1,20033,13,3
810,2,4,-1,2,19726,13,3
811,2,0,-1,1,19137,13,3
812,2,10,-1,2,20257,17,2
813,15,0,-1,-1,6618,0,0
814,7,1,-1,-1,18084,0,0
816,2,15,-1,1,6472,13,3
818,3,7,-1,-1,6613,0,0
820,2,15,-1,1,6470,13,3
821,4,2,-1,8,17102,5,0
823,15,0,-1,-1,7014,0,0
826,2,0,-1,1,19271,13,3
827,2,4,-1,2,3498,13,3
828,1,0,-1,8,2584,18,0
829,12,0,-1,8,1272,0,0
832,4,3,-1,5,6847,6,0
833,4,0,-1,4,22978,12,0
835,0,0,-1,8,1007,0,0
836,0,8,-1,8,1007,0,3
837,4,1,-1,7,14466,5,0
838,4,1,-1,7,14468,7,0
839,4,1,-1,7,14467,10,0
840,4,1,-1,7,16821,8,0
841,12,0,-1,-1,1270,0,0
842,15,0,-1,-1,7015,0,0
843,4,2,-1,8,14470,8,0
844,4,2,-1,8,2101,10,0
845,4,2,-1,8,9640,7,0
846,4,2,-1,8,14472,5,0
847,4,3,-1,5,1019,5,0
848,4,3,-1,5,697,7,0
849,4,3,-1,5,6869,8,0
850,4,3,-1,5,6871,10,0
851,2,7,-1,1,22077,13,3
852,2,4,-1,2,8287,13,3
853,2,0,-1,1,22102,13,3
854,2,10,-1,2,22147,17,2
855,1,0,-1,8,1281,18,0
856,1,0,-1,8,1025,18,0
857,1,0,-1,8,4056,18,0
858,0,1,-1,3,15711,0,0
859,4,0,-1,7,9880,4,0
860,4,1,-1,7,3443,8,0
862,4,0,-1,4,18397,11,0
863,2,0,-1,1,19213,13,3
864,2,7,-1,1,26579,13,3
865,2,4,-1,2,5212,13,3
866,2,10,-1,2,20357,17,2
867,4,2,-1,8,17180,10,0
868,2,4,-1,2,19713,13,3
869,2,7,-1,1,5163,13,3
870,2,1,-1,1,33458,17,1
871,2,0,-1,1,19235,13,3
872,2,1,-1,1,19242,17,1
873,2,10,-1,2,20298,17,2
875,15,0,-1,-1,6423,0,0
876,4,6,-1,1,1680,14,4
877,12,0,-1,-1,7099,0,0
878,7,11,-1,-1,9200,0,0
880,2,10,-1,2,20382,17,2
883,12,0,-1,-1,7088,0,0
884,12,0,-1,-1,6368,0,0
885,2,0,-1,1,8494,13,3
886,2,7,-1,1,20093,13,3
887,15,0,-1,-1,6680,0,0
888,4,2,-1,8,17182,10,0
889,12,0,-1,-1,3022,0,0
890,2,10,-1,2,20386,17,2
892,4,1,-1,7,16950,10,0
893,15,0,-1,-1,959,0,0
894,15,0,-1,-1,6642,0,0
895,12,0,-1,-1,7103,0,0
896,12,0,-1,-1,959,0,0
897,4,2,-1,8,17011,9,0
898,12,0,-1,-1,959,0,0
899,2,15,-1,1,6459,13,3
900,15,0,-1,-1,7014,0,0
901,15,0,-1,-1,7014,0,0
902,15,0,-1,-1,7014,0,0
903,15,0,-1,-1,7014,0,0
905,4,1,-1,7,1057,3,0
906,4,1,-1,7,1058,3,0
907,4,3,-1,7,6480,3,0
908,4,1,-1,7,6545,3,0
909,4,1,-1,7,6557,3,0
910,12,0,-1,-1,3024,0,0
911,2,5,-1,2,28628,17,1
913,2,8,-1,1,20170,17,1
914,4,3,-1,5,2829,5,0
915,12,0,-1,7,1272,0,0
916,12,0,-1,-1,7589,0,0
917,4,2,-1,8,1080,5,0
918,1,0,-1,8,1283,18,0
920,2,4,-1,2,19703,13,3
921,12,0,-1,-1,7588,0,0
922,2,8,-1,1,22097,17,1
923,2,7,-1,1,22080,21,3
924,2,5,-1,2,22131,17,1
925,2,4,-1,2,4351,21,3
926,2,1,-1,1,22108,17,1
927,2,0,-1,1,22106,13,3
928,2,10,-1,2,22151,17,2
929,0,1,-1,3,15712,0,0
930,1,0,-1,7,1283,18,0
931,1,0,-1,8,1183,18,0
932,1,0,-1,8,6430,18,0
933,1,0,-1,8,1282,18,0
934,2,0,-1,1,19405,13,3
935,2,7,-1,1,8274,13,3
936,2,4,-1,2,5215,13,3
937,2,10,-1,2,20329,17,2
938,12,0,-1,-1,7601,0,0
939,12,0,-1,-1,7588,0,0
940,4,1,-1,7,16676,20,0
941,4,0,-1,-1,6513,12,0
942,4,0,-1,3,9835,11,0
943,2,10,-1,2,20256,17,2
944,2,10,-1,2,20253,17,2
945,2,7,-1,1,859,21,3
948,2,7,-1,1,859,21,3
951,0,8,-1,0,1093,0,0
954,0,4,-1,7,3331,0,0
955,0,4,-1,7,2616,0,0
956,12,0,-1,-1,7084,0,0
957,12,0,-1,-1,7286,0,0
958,12,0,-1,-1,7084,0,0
960,12,0,-1,-1,7084,0,0
