entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets,itemset,special_effect_feature,effect_source_entry,effect_source_spell,socketBonus,DisenchantID
200000,Warrior,Holy Pledge Backcloth,2,63,99,tank,back,,16,1,37556,25636,105,43,0.0,,0,,0,0,0,32
200001,Warrior,Skullforged Sollerets of Emerald Wilds,4,71,141,tank,armor,,8,4,45332,32243,141,655,0.0,,0,,0,0,0,67
200002,Warrior,Jeweled Waistplate,4,75,160,strength_dps,armor,,6,4,48360,34546,154,659,0.0,2,0,,0,0,3015,67
200003,Warrior,Blood King's Breastplate of the Iron March,2,58,81,strength_dps,armor,,5,4,41531,29944,81,450,0.0,,0,,0,0,0,13
200004,Warrior,Titan King's Locket,2,50,52,strength_dps,neck,,2,0,14437,7549,47,0,0.0,,0,,0,0,0,9
200005,Warrior,Voidwarden's Bracers of the High Watch,2,11,14,tank,armor,,9,3,25851,2854,19,10,0.0,,0,,0,0,0,21
200006,Warrior,Capelet of Scarlet Monastery,2,63,100,strength_dps,back,,16,1,37556,25636,105,44,0.0,,0,,0,0,0,13
200007,Warrior,Earthbound Legguards,2,65,110,strength_dps,armor,,7,4,43274,30960,111,573,0.0,,0,,0,0,0,14
200008,Warrior,Saronite Mail of Lost Promise,2,16,22,tank,armor,,5,3,13011,9783,20,54,0.0,,0,,0,0,0,3
200009,Warrior,Wolfsworn Battlehelm,3,65,107,strength_dps,armor,,1,4,45168,31105,109,550,0.0,,0,,0,0,0,52
200010,Warrior,First Queen's Chestplate,2,68,119,strength_dps,armor,,5,4,39865,25008,114,732,0.0,,0,,0,0,0,14
200011,Warrior,The Emberwrought Effigy,3,53,55,strength_dps,trinket,,12,0,21804,11811,55,0,0.0,,0,,0,0,0,47
200012,Warrior,Cracked Greaves of Blade Edge,3,43,46,tank,armor,,7,4,21961,13074,46,237,0.0,,0,,0,0,0,46
200013,Warrior,Jagged Locket of Broken Banner,4,79,188,strength_dps,neck,,2,0,39432,44688,175,0,0.0,,0,on-use,44935,54406,0,68
200014,Warrior,Compass of the Earth Spirit,2,43,44,tank,trinket,,12,0,39916,21760,45,0,0.0,,0,,0,0,0,27
200015,Warrior,Bonewarden's Helm of the Dragon Queen,2,48,51,strength_dps,armor,,1,4,26257,14952,50,193,0.0,,0,,0,0,0,9
200016,Warrior,Footguards of the Wild Watch,2,14,21,strength_dps,armor,,8,3,25765,2991,21,30,0.0,,0,,0,0,0,3
200017,Warrior,Brooch of Kings Road,2,40,41,strength_dps,neck,,2,0,14437,7549,47,0,0.0,,0,,0,0,0,7
200018,Warrior,Razor-edged Girdle of the Lost Memory,2,15,22,strength_dps,armor,,6,3,25757,6548,16,27,0.0,,0,,0,0,0,3
200019,Warrior,Helm of Spellweaver,3,28,33,strength_dps,armor,,1,3,15810,5819,33,71,0.0,,0,,0,0,0,43
200020,Warrior,Permafrost Mark,2,53,56,tank,finger,,11,0,15422,7553,48,0,0.0,,0,,0,0,0,10
200021,Warrior,Ebon Singer War Maul,3,60,92,strength_dps,2h_mace,2h_mace,17,5,41638,30093,100,0,69.559,,0,,0,0,0,50
200022,Warrior,The Earthen Mark,2,39,42,tank,finger,,11,0,28831,20961,38,0,0.0,,0,,0,0,0,27
200023,Warrior,Warpriest's Rune-carved Visor,2,60,88,strength_dps,armor,,1,4,40771,24938,87,370,0.0,,0,,0,0,0,13
200024,Warrior,Ashkeeper's Runebound Royal Cloak,2,30,36,strength_dps,back,,16,1,15076,4326,37,14,0.0,,0,,0,0,0,26
200025,Warrior,Visor of Valiance Keep,3,76,169,tank,armor,,1,4,56532,44046,174,919,0.0,,0,,0,0,0,54
200026,Warrior,Beads of Plague Watch,3,47,50,strength_dps,neck,,2,0,6546,4743,50,0,0.0,,0,,0,0,0,46
200027,Warrior,Warrior-forged Treads,2,30,36,strength_dps,armor,,8,3,46452,33257,36,55,0.0,,0,,0,0,0,26
200028,Warrior,Frostfire Slayer Sledge,2,34,39,strength_dps,2h_mace,2h_mace,17,5,5137,1679,36,0,27.031,,0,,0,0,0,6
200029,Warrior,The Infused Legmail,3,16,21,strength_dps,armor,,7,3,2922,15451,18,53,0.0,,0,,0,0,0,41
200030,Warrior,"Bearded Axe, Stormshard Guard",3,62,95,strength_dps,1h_axe,1h_axe,13,0,43655,31153,94,0,56.2,,0,,0,0,0,50
200031,Warrior,Rime-coated Cuirass of Shadow Crown,3,67,119,strength_dps,armor,,5,4,43039,28403,115,802,0.0,,0,,0,0,0,52
200032,Warrior,Graveborn Battlehammer of Silver Covenant,3,76,175,strength_dps,1h_mace,1h_mace,13,4,52926,41185,175,0,108.421,,0,,0,0,0,43
200033,Warrior,Baleful Vambraces of High Watch,4,80,258,strength_dps,armor,,9,4,64790,51832,264,672,0.0,4,0,,0,0,2927,68
200034,Warrior,"Steelforged Mark, Silver King's Oath",3,75,169,tank,finger,,11,0,56104,43192,174,0,0.0,,0,,0,0,0,54
200035,Warrior,Marauding Legmail of Wyrm Queen,2,24,28,tank,armor,,7,3,25805,6386,30,65,0.0,,0,,0,0,0,4
200036,Warrior,Faceguard of the Eternal Flame,2,39,45,strength_dps,armor,,1,3,26098,15615,46,92,0.0,,0,,0,0,0,7
200037,Warrior,Boots of Northern Light,2,33,35,strength_dps,armor,,8,3,25810,4076,35,52,0.0,,0,,0,0,0,5
