ID,Name,ItemIDs,BonusThresholds,BonusSpellIDs,SourceTemplateID
902,Battlegear of the Dragonblight Vanguard,266565|267523|261019|261644|263037|0|0|0|0|0,2|4,37165|37166,620
903,Harness of the Hallowed Flame,380457|388921|380401|387646|381597|0|0|0|0|0,2|4,29096|41835,184
904,Vestments of the Ebon Watch,363679|368727|366363|363282|361551|0|0|0|0|0,2|4,37180|37181,623
905,Battlegear of the High Citadel,205875|205719|203581|202244|200915|0|0|0|0|0,2|4,37512|37513,653
906,Warplate of the Bone Wastes,208935|201682|209718|202177|204312|0|0|0|0|0,2|4,46528|22738,750
907,Regalia of the Violet Citadel,362144|363922|361898|363144|363631|0|0|0|0|0,2|4,51262|51263,755
908,Regalia of the Khaz Modan Forge,344280|342013|346013|344409|342768|0|0|0|0|0,2|4,37207|37209,630
909,Harness of the Rimefang,227893|221546|229564|223481|229601|0|0|0|0|0,2|4,40050|23302,608
910,Battlegear of the Bone Wastes,307298|302833|301504|300895|302169|0|0|0|0|0,2|4,37610|37611,661
911,Harness of the Scarlet Keep,266522|265842|261097|262675|261375|0|0|0|0|0,2|4,37165|37166,620
912,Harness of the Sable Moon,309368|307354|305295|300680|304276|0|0|0|0|0,2|4,29092|30770,189
913,Raiment of the Frostwolf Clan,324210|320939|329057|322280|329786|0|0|0|0|0,2|4,60166|60167,797
914,Battlegear of the Sunreaver Host,303162|300886|306570|301432|305864|0|0|0|0|0,2|4,37512|37513,653
915,Battlegear of the Black Citadel,202102|201400|208486|206238|200372|0|0|0|0|0,2|4,37610|37611,661
916,Raiment of the Frostborn Vigil,388862|380515|388517|388361|382275|0|0|0|0|0,2|4,37609|37617,660
917,Regalia of the Hallowed Flame,326269|322238|324270|325216|323723|0|0|0|0|0,2|4,56450|44299,771
918,Vestments of the Wyrmrest Accord,343746|347954|345450|346166|341634|0|0|0|0|0,2|4,51262|51263,755
919,Battlegear of the Ebon Watch,324523|328740|323093|324000|325789|0|0|0|0|0,2|4,67220|67221,866
920,Warplate of the Storm Crown,305514|304607|303248|302508|306619|0|0|0|0|0,2|4,29093|41818,188
921,Warplate of the Dragonblight Vanguard,209838|208095|208256|203839|209594|0|0|0|0|0,2|4,37512|37513,653
922,Vestments of the Raven Court,349140|342591|343456|343717|344533|0|0|0|0|0,2|4,29097|41892,185
923,Warplate of the Deep Forge,306779|300523|302489|300692|300074|0|0|0|0|0,2|4,70655|70656,897
924,Raiment of the Ancient North,366809|365902|361863|363724|362302|0|0|0|0|0,2|4,51262|51263,755
925,Vestments of the Storm Crown,289373|280729|289559|287700|289898|0|0|0|0|0,2|4,29097|41892,185
926,Regalia of the Icecrown Citadel,369663|365184|360268|361507|365144|0|0|0|0|0,2|4,29097|41892,185
927,Battlegear of the Storm Crown,262111|269734|266769|265236|260770|0|0|0|0|0,2|4,56449|23218,775
928,Warplate of the Wintergrasp Guard,206869|202829|200693|208952|209767|0|0|0|0|0,2|4,37610|37611,661
929,Raiment of the Khaz Modan Forge,365442|363585|365069|369845|364749|0|0|0|0|0,2|4,51262|51263,755
930,Warplate of the Sable Moon,228388|222405|225961|220499|221720|0|0|0|0|0,2|4,56449|61776,766
931,Vestments of the Emerald Dream,344870|349794|340526|340023|346617|0|0|0|0|0,2|4,29097|41892,185
932,Vestments of the Icecrown Citadel,324369|324669|328429|321837|321619|0|0|0|0|0,2|4,51262|51263,755
933,Vestments of the Dragonblight Vanguard,340038|345155|347836|344241|340425|0|0|0|0|0,2|4,29097|41892,185
934,Vestments of the Bone Wastes,387202|383668|388338|387557|381859|0|0|0|0|0,2|4,37207|37209,630
935,Battlegear of the Shattered Crown,329835|327301|326448|328468|329045|0|0|0|0|0,2|4,51223|51225,756
936,Battlegear of the Crimson Dawn,268387|261114|263750|267996|263271|0|0|0|0|0,2|4,56449|23218,775
937,Regalia of the Frostwolf Clan,288722|287581|287880|285849|286362|0|0|0|0|0,2|4,28818|29171,527
938,Regalia of the Crimson Dawn,381066|389903|389431|388433|388872|0|0|0|0|0,2|4,51262|51263,755
939,Harness of the Ebon Watch,300889|300923|302493|304929|309374|0|0|0|0|0,2|4,37610|37611,661
940,Regalia of the Black Citadel,347170|349378|347527|342423|347429|0|0|0|0|0,2|4,29097|41892,185
941,Vestments of the Bronzebeard Clan,325867|322558|327781|328990|327459|0|0|0|0|0,2|4,51262|51263,755
