ID,ClassID,SubclassID,SoundOverrideSubclassID,Material,DisplayInfoID,InventoryType,SheatheType
200000,4,0,-1,4,23608,11,0
200001,4,1,-1,7,28693,16,0
200002,4,3,-1,5,6864,6,0
200003,4,3,-1,5,25799,3,0
200004,4,0,-1,4,51230,11,0
200005,4,3,-1,5,28275,9,0
200006,4,3,-1,5,11935,8,0
200007,4,3,-1,5,12944,5,0
200008,4,3,-1,5,27774,1,0
200009,4,4,-1,6,55834,7,0
200010,4,0,-1,4,48071,2,0
200011,4,3,-1,5,4912,7,0
200012,4,4,-1,6,52302,1,0
200013,4,1,-1,7,54512,16,0
200014,4,0,-1,4,45351,2,0
200015,4,4,-1,6,57271,8,0
200016,4,4,-1,6,26879,6,0
200017,4,4,-1,6,26687,5,0
200018,4,0,-1,4,41951,11,0
200019,4,3,-1,5,7002,8,0
200020,4,4,-1,6,27935,6,0
200021,4,4,-1,6,25749,5,0
200022,4,4,-1,6,19843,7,0
200023,4,3,-1,5,18333,3,0
200024,4,4,-1,6,42873,5,0
200025,4,4,-1,6,41275,9,0
200026,4,1,-1,7,28609,16,0
200027,2,0,-1,0,38997,13,3
200028,4,4,-1,6,26825,3,0
200029,4,3,-1,5,27777,6,0
200030,2,1,-1,0,28794,17,1
200031,2,5,-1,0,50322,17,1
200032,4,4,-1,6,28740,10,0
200033,4,4,-1,6,58776,5,0
200034,4,4,-1,6,27348,5,0
200035,2,4,-1,0,28531,13,3
200036,4,3,-1,5,9242,7,0
200037,4,4,-1,6,44346,6,0
200038,4,3,-1,5,27028,7,0
200039,4,3,-1,5,26948,7,0
200040,4,0,-1,4,6338,12,0
200041,4,0,-1,4,6012,11,0
200042,4,6,-1,1,51454,14,4
200043,2,1,-1,0,8531,17,1
200044,4,3,-1,5,27007,9,0
200045,4,0,-1,4,9853,2,0
200046,4,4,-1,6,55833,7,0
200047,4,4,-1,6,26820,5,0
200048,4,4,-1,6,49876,3,0
200049,4,4,-1,6,53007,10,0
200050,4,3,-1,5,9742,7,0
200051,4,1,-1,7,44458,16,0
200052,4,3,-1,5,52161,3,0
200053,2,8,-1,0,20196,17,1
200054,2,8,-1,0,20087,17,1
200055,4,3,-1,5,25991,1,0
200056,4,4,-1,6,54821,3,0
200057,4,3,-1,5,27035,8,0
200058,4,4,-1,6,43684,10,0
200059,4,4,-1,6,51658,7,0
200060,4,0,-1,4,6546,2,0
200061,4,4,-1,6,38687,6,0
200062,4,3,-1,5,7563,6,0
200063,4,3,-1,5,25980,8,0
200064,4,3,-1,5,27060,10,0
