entry,name,required_level,item_level,quality,profile_id,map_id,difficulty_id,instance,destination,encounter,encounter_kind,encounter_name,pool_id,loot_mode,chance,quantity,item_level_min,item_level_max,target_count,target_entries,target_names,targets
200000,Snowbound Loop,13,20,2,map_560_difficulty_1,560,1,HillsbradPast,dungeon,trash,trash,Trash,3530000,2,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200001,Boar Branch Longcloak,48,55,3,map_560_difficulty_0,560,0,HillsbradPast,dungeon,trash,trash,Trash,3520000,1,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200002,Shadowwoven Girdle,13,14,2,map_389_difficulty_0,389,0,OrgrimmarInstance,dungeon,boss_000431,boss,Taragaman the Hungerer,3160002,1,2.0,1,14,24,1,creature:11520,Taragaman the Hungerer,creature:11520=Taragaman the Hungerer
200003,War Mantle of the Howling Fjord,23,29,2,map_560_difficulty_1,560,1,HillsbradPast,dungeon,trash,trash,Trash,3530000,2,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200004,Signet Ring of the Long Road,70,131,3,map_550_difficulty_0,550,0,TempestKeepRaid,raid,boss_000731,boss,Void Reaver,3370002,1,2.0,1,126,155,1,creature:19516,Void Reaver,creature:19516=Void Reaver
200005,Shadowguard's Gray Wrist Chains,26,27,2,map_560_difficulty_1,560,1,HillsbradPast,dungeon,trash,trash,Trash,3530000,2,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200006,Greaves of the Searing Gorge,13,17,3,map_560_difficulty_0,560,0,HillsbradPast,dungeon,trash,trash,Trash,3520000,1,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200008,The Arcanized Helm,20,25,2,map_560_difficulty_0,560,0,HillsbradPast,dungeon,trash,trash,Trash,3520000,1,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200009,Emerald Promise Legplates,80,200,2,map_576_difficulty_1,576,1,Nexus70,dungeon,boss_000526,boss,Keristrasza,3580005,2,2.0,1,133,284,1,creature:26723,Keristrasza,creature:26723=Keristrasza
200010,Battlemage's Pendant Chain of the Icecrown,68,116,4,map_557_difficulty_1,557,1,AuchindounEthereal,dungeon,boss_000204,boss,Tavarok,3490002,2,2.0,1,102,116,1,creature:18343,Tavarok,creature:18343=Tavarok
