reference_entry,displayid,item_level,quality
210,14444,5,1
720,2368,28,3
727,26577,10,2
744,18059,44,2
754,20218,47,3
789,19699,22,2
790,19401,23,2
812,20257,54,4
821,17102,13,2
832,6847,15,2
862,18397,50,3
863,19213,37,2
865,5212,31,2
866,20357,42,2
888,17182,27,3
892,16950,22,2
897,17011,29,2
899,6459,19,2
914,2829,30,2
937,20329,38,3
996,3453,2,1
1021,13551,1,1
1022,15299,1,1
1024,15304,1,1
1025,15302,1,1
1076,6012,25,2
1121,703,24,3
1155,20327,29,3
1156,9839,22,3
1168,30993,59,4
1173,6777,10,1
1207,5223,39,2
1211,14260,15,2
1215,16942,22,2
1216,9559,33,2
1219,20122,16,2
1273,12723,25,2
1280,15298,38,2
1282,15324,33,2
1299,16717,22,2
1300,20391,20,2
1304,16818,20,2
1306,11387,20,2
1310,16971,20,2
1314,17179,20,2
1319,14437,25,2
1351,16897,28,2
1355,23014,15,2
1359,6751,8,1
1391,20410,18,2
1406,5638,21,2
1436,17144,17,2
1440,8570,19,2
1444,6504,40,3
1446,6841,19,2
1447,14438,46,4
1448,6842,20,2
1462,9846,25,2
1465,20594,38,2
1473,20402,19,2
1484,9122,22,3
1486,9889,24,3
1489,8676,25,3
1521,19306,44,2
1522,22239,36,2
1539,20395,19,2
1560,16856,21,2
1566,20078,17,2
1604,63370,45,2
1607,20272,54,3
1613,28470,44,2
1624,15340,43,2
1678,11269,37,3
1713,23949,45,3
1716,16667,40,3
1717,12960,30,3
1718,17137,43,3
1720,21460,46,3
1722,15467,42,3
1832,16845,17,2
1917,20435,10,2
1925,20114,16,2
1927,19276,15,2
1928,20415,16,2
1929,16848,18,2
1934,6774,20,2
1944,17062,18,2
1945,17189,18,2
1955,6907,27,2
1959,14038,17,2
1974,16901,22,3
1976,8590,29,3
1978,12813,27,3
1981,8668,44,4
1988,25892,38,2
1990,5533,36,2
1993,14436,36,2
1994,19129,46,2
1998,20356,33,2
2000,20251,35,2
2013,20373,26,2
2015,19255,28,2
2017,6738,28,2
2020,20492,18,2
2033,10711,25,2
2036,17054,18,2
2041,8703,24,3
2059,22991,24,3
2075,5218,12,2
2077,28578,29,2
2079,19637,17,2
2080,19400,34,2
2084,20152,30,2
2087,17095,13,2
2088,6455,15,2
2089,20407,18,2
2124,14427,5,1
2125,17176,5,1
2140,6440,11,2
2163,20291,53,4
2166,685,20,2
2168,16713,21,2
2173,28227,5,1
2175,8534,23,2
2186,4545,5,1
2194,8567,25,3
2218,20451,13,2
2226,20372,27,2
2232,4272,25,2
2233,18489,27,2
2234,8677,30,2
2254,19612,12,2
2256,5221,24,3
2264,12830,30,3
2274,6883,17,2
2275,13279,20,3
2277,3173,35,3
2278,17190,31,3
2280,20370,27,3
2281,19297,11,2
2283,16831,15,2
2292,19037,25,3
2300,9502,12,2
2307,17163,18,2
2308,23028,15,2
2309,13864,15,2
