entry,name,required_level,item_level,quality,profile_id,map_id,difficulty_id,instance,destination,encounter,encounter_kind,encounter_name,pool_id,loot_mode,chance,quantity,item_level_min,item_level_max,profile_required_level_min,profile_required_level_max,band_source,band_source_item_count,band_center,placement_score,placement_reason,encounter_equivalence_group,encounter_eligible_profile_count,encounter_distribution_weight,encounter_distribution_score,set_id,set_name,set_atomic_profile,target_count,target_entries,target_names,targets
200000,Scourgebound Waistplate of Dragonblight,57,60,3,map_229_difficulty_0,229,0,BlackRockSpire,dungeon,boss_000275,boss,Overlord Wyrmthalak,3220007,1,2.0,1,60,62,52,58,direct,8,61.0,"[2,1.0,2,1.0,0,1,0,6,7305083810930142262]",source evidence,"item-level=60;required-level=57;candidate-band=55-63-50-58,57-62-52-57,60-62-55-57",4,1.2066666666666668,1.0243199766217446,,,,1,creature:9568,Overlord Wyrmthalak,creature:9568=Overlord Wyrmthalak
200001,First Knight's Wolfsworn Carapace,62,99,2,map_557_difficulty_0,557,0,AuchindounEthereal,dungeon,trash,trash,Trash,3640001,1,2.0,1,96,106,62,67,encounter_reference,224,100.75892857142857,"[10,1.7589285714285694,5,2.5,1,1,1,0,12227540355705769254]",source evidence,item-level=99;required-level=62;candidate-band=96-106-62-67,1,1.1441369047619048,0.2945317059455252,,,,2,creature:18314; creature:19306,Nexus Stalker; Mana Leech,creature:18314=Nexus Stalker; creature:19306=Mana Leech
200002,Gorget of Dragon Forge,43,47,2,map_109_difficulty_0,109,0,SunkenTemple,dungeon,trash,trash,Trash,3180001,1,2.0,1,46,54,41,52,direct,114,50.333333333333336,"[8,3.3333333333333357,8,2.0,0,1,1,0,3794753837424013273]",source evidence,"item-level=47;required-level=43;candidate-band=46-49-41-44,46-54-41-49",2,1.078888888888889,0.9613707491318969,,,,24,creature:5226; creature:5228; creature:5256; creature:5259; creature:5263; creature:5267; creature:5269; creature:5270; creature:5271; creature:5273; creature:5277; creature:5280; creature:5283; creature:5291; creature:5708; creature:5711; creature:5712; creature:5713; creature:5714; creature:5715; creature:5716; creature:5717; creature:8319; creature:8384,Murk Worm; Saturated Ooze; Atal\'ai Warrior; Atal\'ai Witch Doctor; Mummified Atal\'ai; Unliving Atal\'ai; Atal\'ai Priest; Atal\'ai Corpse Eater; Atal\'ai Deathwalker; Atal\'ai High Priest; Nightmare Scalebane; Nightmare Wyrmkin; Nightmare Wanderer; Hakkari Frostwing; Spawn of Hakkar; Ogom the Wretched; Zolo; Gasher; Loro; Hukku; Zul\'Lor; Mijan; Nightmare Whelp; Deep Lurker,creature:5226=Murk Worm; creature:5228=Saturated Ooze; creature:5256=Atal\'ai Warrior; creature:5259=Atal\'ai Witch Doctor; creature:5263=Mummified Atal\'ai; creature:5267=Unliving Atal\'ai; creature:5269=Atal\'ai Priest; creature:5270=Atal\'ai Corpse Eater; creature:5271=Atal\'ai Deathwalker; creature:5273=Atal\'ai High Priest; creature:5277=Nightmare Scalebane; creature:5280=Nightmare Wyrmkin; creature:5283=Nightmare Wanderer; creature:5291=Hakkari Frostwing; creature:5708=Spawn of Hakkar; creature:5711=Ogom the Wretched; creature:5712=Zolo; creature:5713=Gasher; creature:5714=Loro; creature:5715=Hukku; creature:5716=Zul\'Lor; creature:5717=Mijan; creature:8319=Nightmare Whelp; creature:8384=Deep Lurker
200003,"Brutish Girdle, Ashcaller's Oath",14,19,2,map_43_difficulty_0,43,0,WailingCaverns,dungeon,trash,trash,Trash,3130001,1,2.0,1,19,20,14,20,direct,3,19.666666666666668,"[1,0.6666666666666679,1,0.5,0,1,1,0,5696144443649520541]",source evidence,"item-level=19;required-level=14;candidate-band=16-21-11-16,19-20-14-15",2,1.0877777777777777,0.7274515303270392,,,,2,creature:3840; creature:5912,Druid of the Fang; Deviate Faerie Dragon,creature:3840=Druid of the Fang; creature:5912=Deviate Faerie Dragon
200006,"Shoulderplates, Star Moon",64,105,2,map_557_difficulty_0,557,0,AuchindounEthereal,dungeon,trash,trash,Trash,3640001,1,2.0,1,96,106,62,67,encounter_reference,224,100.75892857142857,"[10,4.241071428571431,5,0.5,1,1,1,0,14485138708227405280]",source evidence,item-level=105;required-level=64;candidate-band=96-106-62-67,1,1.1358630952380953,1.0671748076294107,,,,2,creature:18314; creature:19306,Nexus Stalker; Mana Leech,creature:18314=Nexus Stalker; creature:19306=Mana Leech
200010,Wargrips of Blue Dragon,44,48,3,map_209_difficulty_0,209,0,TanarisInstance,dungeon,boss_000595,boss,Antu\'sul,3210002,1,2.0,1,48,50,40,45,direct,6,48.833333333333336,"[2,0.8333333333333357,2,0.0,0,1,0,1,7248007503801982912]",source evidence,"item-level=48;required-level=44;candidate-band=46-54-41-49,48-50-43-45",2,1.2072222222222224,0.8400145950468901,,,,1,creature:8127,Antu\'sul,creature:8127=Antu\'sul
200011,Doomforged Wargrips of Valiance Keep,54,60,2,map_329_difficulty_0,329,0,Stratholme,dungeon,boss_000479,boss,Baroness Anastari,3270007,1,2.0,1,59,60,52,60,direct,9,59.888888888888886,"[1,0.11111111111111427,1,0.5,0,1,0,6,4454641405725783517]",source evidence,"item-level=60;required-level=54;candidate-band=55-63-50-58,57-62-52-57,59-60-54-55,59-61-54-55",5,1.1496296296296298,1.0083712314279116,,,,1,creature:10436,Baroness Anastari,creature:10436=Baroness Anastari
200014,Gloves of the Storm Pact,35,41,2,map_70_difficulty_0,70,0,Uldaman,dungeon,boss_000547,boss,Revelosh,3160000,1,2.0,1,40,41,30,40,direct,3,40.5,"[1,0.5,1,0.5,0,1,0,0,11382554334055466120]",source evidence,"item-level=41;required-level=35;candidate-band=35-42-30-37,40-41-35-36",2,1.1283333333333334,0.7311113712144951,,,,1,creature:6910,Revelosh,creature:6910=Revelosh
200015,Consecrated Warhelm,27,28,2,map_90_difficulty_0,90,0,GnomeragonInstance,dungeon,trash,trash,Trash,3170001,1,2.0,1,28,35,23,30,direct,113,30.47787610619469,"[7,2.477876106194689,7,0.5,0,1,1,0,7730080192862264679]",source evidence,"item-level=28;required-level=27;candidate-band=27-32-22-27,28-35-23-30",2,1.101740412979351,0.593037517639854,,,,23,creature:6206; creature:6207; creature:6211; creature:6212; creature:6218; creature:6219; creature:6220; creature:6223; creature:6224; creature:6225; creature:6226; creature:6227; creature:6228; creature:6230; creature:6232; creature:6233; creature:6234; creature:6329; creature:6391; creature:6392; creature:6407; creature:7603; creature:7849,Caverndeep Burrower; Caverndeep Ambusher; Caverndeep Reaver; Dark Iron Agent; Irradiated Slime; Corrosive Lurker; Irradiated Horror; Leprous Defender; Leprous Machinesmith; Mechano-Tank; Mechano-Flamewalker; Mechano-Frostwalker; Dark Iron Ambassador; Peacekeeper Security Suit; Arcane Nullifier X-21; Mechanized Sentry; Mechanized Guardian; Irradiated Pillager; Holdout Warrior; Holdout Medic; Holdout Technician; Leprous Assistant; Mobile Alert System,creature:6206=Caverndeep Burrower; creature:6207=Caverndeep Ambusher; creature:6211=Caverndeep Reaver; creature:6212=Dark Iron Agent; creature:6218=Irradiated Slime; creature:6219=Corrosive Lurker; creature:6220=Irradiated Horror; creature:6223=Leprous Defender; creature:6224=Leprous Machinesmith; creature:6225=Mechano-Tank; creature:6226=Mechano-Flamewalker; creature:6227=Mechano-Frostwalker; creature:6228=Dark Iron Ambassador; creature:6230=Peacekeeper Security Suit; creature:6232=Arcane Nullifier X-21; creature:6233=Mechanized Sentry; creature:6234=Mechanized Guardian; creature:6329=Irradiated Pillager; creature:6391=Holdout Warrior; creature:6392=Holdout Medic; creature:6407=Holdout Technician; creature:7603=Leprous Assistant; creature:7849=Mobile Alert System
200016,Oathring of Old Gods,39,40,3,map_70_difficulty_0,70,0,Uldaman,dungeon,trash,trash,Trash,3160001,1,2.0,1,35,45,30,40,direct,71,41.52054794520548,"[10,1.5205479452054789,10,4.0,0,1,1,0,14334572593225278738]",source evidence,item-level=40;required-level=39;candidate-band=35-45-30-40,1,1.1649315068493151,0.15292817045755921,,,,21,creature:4847; creature:4848; creature:4849; creature:4850; creature:4851; creature:4852; creature:4853; creature:4855; creature:4860; creature:4861; creature:4863; creature:6907; creature:6908; creature:7012; creature:7022; creature:7023; creature:7030; creature:7175; creature:7290; creature:7320; creature:7321,"Shadowforge Relic Hunter; Shadowforge Darkcaster; Shadowforge Archaeologist; Stonevault Cave Lurker; Stonevault Rockchewer; Stonevault Oracle; Stonevault Geomancer; Stonevault Brawler; Stone Steward; Shrike Bat; Jadespine Basilisk; Eric \""The Swift\""; Olaf; Earthen Sculptor; Venomlash Scorpid; Obsidian Sentinel; Shadowforge Geologist; Stonevault Ambusher; Shadowforge Sharpshooter; Stonevault Mauler; Stonevault Flameweaver","creature:4847=Shadowforge Relic Hunter; creature:4848=Shadowforge Darkcaster; creature:4849=Shadowforge Archaeologist; creature:4850=Stonevault Cave Lurker; creature:4851=Stonevault Rockchewer; creature:4852=Stonevault Oracle; creature:4853=Stonevault Geomancer; creature:4855=Stonevault Brawler; creature:4860=Stone Steward; creature:4861=Shrike Bat; creature:4863=Jadespine Basilisk; creature:6907=Eric \""The Swift\""; creature:6908=Olaf; creature:7012=Earthen Sculptor; creature:7022=Venomlash Scorpid; creature:7023=Obsidian Sentinel; creature:7030=Shadowforge Geologist; creature:7175=Stonevault Ambusher; creature:7290=Shadowforge Sharpshooter; creature:7320=Stonevault Mauler; creature:7321=Stonevault Flameweaver"
