profile_id,encounter_id,source_kind,item,reference,reason
map_33_difficulty_0,,direct,,1000320,shared or unresolved reference context
map_33_difficulty_0,,direct,422,,not equippable stock gear
map_33_difficulty_0,,direct,765,,not equippable stock gear
map_33_difficulty_0,,direct,1205,,not equippable stock gear
map_33_difficulty_0,,direct,2447,,not equippable stock gear
map_33_difficulty_0,,direct,2449,,not equippable stock gear
map_33_difficulty_0,,direct,2450,,not equippable stock gear
map_33_difficulty_0,,direct,2452,,not equippable stock gear
map_33_difficulty_0,,direct,2453,,not equippable stock gear
map_33_difficulty_0,,direct,2589,,not equippable stock gear
map_33_difficulty_0,,direct,2592,,not equippable stock gear
map_33_difficulty_0,,direct,2835,,not equippable stock gear
map_33_difficulty_0,,direct,2836,,not equippable stock gear
map_33_difficulty_0,,direct,3356,,not equippable stock gear
map_33_difficulty_0,,direct,3393,,not equippable stock gear
map_33_difficulty_0,,direct,3394,,not equippable stock gear
map_33_difficulty_0,,direct,3770,,not equippable stock gear
map_33_difficulty_0,,direct,4538,,not equippable stock gear
map_33_difficulty_0,,direct,4542,,not equippable stock gear
map_33_difficulty_0,,direct,4606,,not equippable stock gear
map_33_difficulty_0,,direct,5635,,not equippable stock gear
map_33_difficulty_0,,direct,6211,,not equippable stock gear
map_33_difficulty_0,,direct,1318,,RequiredLevel outside creature progression context
map_33_difficulty_0,,direct,1483,,RequiredLevel outside creature progression context
map_33_difficulty_0,,direct,1484,,RequiredLevel outside creature progression context
map_33_difficulty_0,,direct,1974,,RequiredLevel outside creature progression context
map_33_difficulty_0,,direct,2807,,RequiredLevel outside creature progression context
map_33_difficulty_0,,direct,3194,,RequiredLevel outside creature progression context
map_33_difficulty_0,,direct,818,,not equippable stock gear
map_33_difficulty_0,,direct,856,,not equippable stock gear
map_33_difficulty_0,,direct,929,,not equippable stock gear
map_33_difficulty_0,,direct,954,,not equippable stock gear
map_33_difficulty_0,,direct,1205,,not equippable stock gear
map_33_difficulty_0,,direct,1206,,not equippable stock gear
map_33_difficulty_0,,direct,1210,,not equippable stock gear
map_33_difficulty_0,,direct,1478,,not equippable stock gear
map_33_difficulty_0,,direct,1712,,not equippable stock gear
