equivalence_group,RequiredLevel,ItemLevel,quality,eligible_profile_count,items_placed,dominant_profile,dominant_profile_share,distribution_entropy,warning
item-level=100;required-level=62;candidate-band=96-106-62-67,62,100,2,1,6,map_557_difficulty_0,1.0,-0.0,False
item-level=100;required-level=62;candidate-band=96-106-62-67,62,100,3,1,10,map_557_difficulty_0,1.0,-0.0,False
item-level=100;required-level=63;candidate-band=96-106-62-67,63,100,2,1,7,map_557_difficulty_0,1.0,-0.0,False
item-level=100;required-level=63;candidate-band=96-106-62-67,63,100,3,1,17,map_557_difficulty_0,1.0,-0.0,False
item-level=101;required-level=62;candidate-band=96-106-62-67,62,101,2,1,1,map_557_difficulty_0,1.0,-0.0,False
item-level=101;required-level=62;candidate-band=96-106-62-67,62,101,3,1,4,map_557_difficulty_0,1.0,-0.0,False
item-level=101;required-level=63;candidate-band=96-106-62-67,63,101,2,1,7,map_557_difficulty_0,1.0,-0.0,False
item-level=101;required-level=63;candidate-band=96-106-62-67,63,101,3,1,15,map_557_difficulty_0,1.0,-0.0,False
item-level=102;required-level=63;candidate-band=96-106-62-67,63,102,2,1,11,map_557_difficulty_0,1.0,-0.0,False
item-level=102;required-level=63;candidate-band=96-106-62-67,63,102,3,1,5,map_557_difficulty_0,1.0,-0.0,False
item-level=102;required-level=64;candidate-band=96-106-62-67,64,102,2,1,3,map_557_difficulty_0,1.0,-0.0,False
item-level=102;required-level=64;candidate-band=96-106-62-67,64,102,3,1,4,map_557_difficulty_0,1.0,-0.0,False
item-level=103;required-level=63;candidate-band=96-106-62-67,63,103,2,1,14,map_557_difficulty_0,1.0,-0.0,False
item-level=103;required-level=63;candidate-band=96-106-62-67,63,103,3,1,11,map_557_difficulty_0,1.0,-0.0,False
item-level=103;required-level=64;candidate-band=96-106-62-67,64,103,2,1,8,map_557_difficulty_0,1.0,-0.0,False
item-level=103;required-level=64;candidate-band=96-106-62-67,64,103,3,1,12,map_557_difficulty_0,1.0,-0.0,False
item-level=104;required-level=63;candidate-band=96-106-62-67,63,104,2,1,9,map_557_difficulty_0,1.0,-0.0,False
item-level=104;required-level=63;candidate-band=96-106-62-67,63,104,3,1,4,map_557_difficulty_0,1.0,-0.0,False
item-level=104;required-level=64;candidate-band=96-106-62-67,64,104,2,1,15,map_557_difficulty_0,1.0,-0.0,False
item-level=104;required-level=64;candidate-band=96-106-62-67,64,104,3,1,8,map_557_difficulty_0,1.0,-0.0,False
item-level=105;required-level=64;candidate-band=96-106-62-67,64,105,2,1,13,map_557_difficulty_0,1.0,-0.0,False
item-level=105;required-level=64;candidate-band=96-106-62-67,64,105,3,1,17,map_557_difficulty_0,1.0,-0.0,False
item-level=106;required-level=64;candidate-band=96-106-62-67,64,106,2,1,8,map_557_difficulty_0,1.0,-0.0,False
item-level=106;required-level=64;candidate-band=96-106-62-67,64,106,3,1,8,map_557_difficulty_0,1.0,-0.0,False
"item-level=106;required-level=65;candidate-band=96-106-62-67,103-106-65-67",65,106,2,2,1,map_557_difficulty_0,1.0,-0.0,False
"item-level=106;required-level=65;candidate-band=96-106-62-67,103-106-65-67",65,106,3,2,8,map_557_difficulty_1,0.625,0.6615632381579821,False
"item-level=112;required-level=68;candidate-band=110-115-68-70,112-112-68-68,112-115-68-70",68,112,2,10,10,map_556_difficulty_1,0.3,1.8343719702816237,False
"item-level=112;required-level=68;candidate-band=110-115-68-70,112-112-68-68,112-115-68-70",68,112,3,10,7,map_545_difficulty_1,0.2857142857142857,1.5498260458782016,False
"item-level=113;required-level=68;candidate-band=110-115-68-70,112-115-68-70",68,113,2,8,6,map_555_difficulty_0,0.3333333333333333,1.3296613488547582,False
"item-level=113;required-level=68;candidate-band=110-115-68-70,112-115-68-70",68,113,3,8,3,map_545_difficulty_1,0.3333333333333333,1.0986122886681096,False
item-level=114;required-level=68;candidate-band=110-115-68-70,68,114,4,1,1,map_542_difficulty_1,1.0,-0.0,False
"item-level=114;required-level=68;candidate-band=110-115-68-70,112-115-68-70",68,114,2,8,4,map_542_difficulty_1,0.5,1.0397207708399179,False
"item-level=114;required-level=68;candidate-band=110-115-68-70,112-115-68-70",68,114,3,8,9,map_545_difficulty_1,0.3333333333333333,1.6769877743224173,False
"item-level=115;required-level=68;candidate-band=110-115-68-70,112-115-68-70,115-115-68-70",68,115,2,9,8,map_543_difficulty_1,0.5,1.2130075659799042,False
"item-level=115;required-level=68;candidate-band=110-115-68-70,112-115-68-70,115-115-68-70",68,115,3,9,7,map_540_difficulty_0,0.2857142857142857,1.7478680974667573,False
item-level=128;required-level=70;candidate-band=128-128-70-70,70,128,2,3,8,map_568_difficulty_0,0.375,1.0821955300387673,False
item-level=128;required-level=70;candidate-band=128-128-70-70,70,128,3,3,8,map_548_difficulty_0,0.5,0.9743147528693494,False
item-level=128;required-level=70;candidate-band=128-128-70-70,70,128,4,3,1,map_568_difficulty_0,1.0,-0.0,False
"item-level=129;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,129,2,3,5,map_568_difficulty_0,0.6,0.9502705392332347,False
"item-level=129;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,129,3,3,8,map_550_difficulty_0,0.625,0.6615632381579821,False
"item-level=129;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,129,4,3,2,map_548_difficulty_0,1.0,-0.0,False
"item-level=130;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,130,2,3,2,map_568_difficulty_0,1.0,-0.0,False
"item-level=130;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,130,3,3,9,map_550_difficulty_0,0.4444444444444444,1.0608569471580214,False
"item-level=130;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,130,4,3,1,map_550_difficulty_0,1.0,-0.0,False
"item-level=131;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,131,2,3,9,map_568_difficulty_0,0.5555555555555556,0.936888307539016,False
"item-level=131;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,131,3,3,10,map_550_difficulty_0,0.4,1.0549201679861442,False
"item-level=131;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,131,4,3,1,map_568_difficulty_0,1.0,-0.0,False
"item-level=132;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,132,2,3,8,map_550_difficulty_0,0.5,1.0397207708399179,False
"item-level=132;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,132,3,3,4,map_568_difficulty_0,0.5,0.6931471805599453,False
"item-level=132;required-level=70;candidate-band=128-132-70-70,128-134-70-70",70,132,4,3,2,map_568_difficulty_0,0.5,0.6931471805599453,False
"item-level=133;required-level=70;candidate-band=128-134-70-70,132-138-70-70",70,133,2,3,6,map_568_difficulty_0,0.5,1.0114042647073518,False
