profile_id,map_id,difficulty_id,encounter_id,encounter_name,gameobject_entry,gameobject_name,loot_entry,spawn_guid,spawn_mask,spawn_count,difficulty_scope,association_method,association_source,direct_item_count,reference_item_count,valid,invalid_reason
,33,,,,3659,Barrel of Melon Juice,2601,,,2,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,33,,,,3695,Food Crate,2600,,,2,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,33,,,,36738,The Book of Ur,3623,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,33,,,,75293,Large Battered Chest,4073,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,33,,,,75295,Large Iron Bound Chest,4074,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,33,,,,75298,Large Solid Chest,4074,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,33,,,,91138,Jordan\'s Hammer,4275,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,33,,,,182011,Crate of Ingots,18672,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,33,,,,202947,Cologne Neutralizer,28677,,,9,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,33,,,,202948,Perfume Neutralizer,28678,,,13,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,34,,,,75295,Large Iron Bound Chest,4074,,,2,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,34,,,,75298,Large Solid Chest,4074,,,3,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,36,,,,1731,Copper Vein,1502,,,4,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,36,,,,1732,Tin Vein,1503,,,5,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,36,,,,3662,Food Crate,2578,,,2,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,36,,,,3705,Barrel of Milk,2579,,,2,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,36,,,,17155,Defias Gunpowder,2882,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,36,,,,19019,Box of Assorted Parts,2953,,,7,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,36,,,,75293,Large Battered Chest,4073,,,5,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,43,,,,1619,Earthroot,1416,,,6,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,43,,,,1622,Bruiseweed,1419,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,43,,,,1624,Kingsblood,1421,,,2,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,43,,,,1731,Copper Vein,1502,,,3,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,43,,,,1732,Tin Vein,1503,,,3,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,43,,,,2041,Liferoot,1730,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,43,,,,13891,Serpentbloom,2772,,,24,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,43,,,,75293,Large Battered Chest,4073,,,4,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,47,,,,1621,Briarthorn,1418,,,6,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,47,,,,1734,Gold Vein,1506,,,1,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,47,,,,1735,Iron Deposit,1505,,,3,,static_spawn,gameobject.sql;gameobject_template.sql;gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
