entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets,itemset,special_effect_feature,effect_source_entry,effect_source_spell,socketBonus,DisenchantID
200000,Warrior,Scourgebound Waistplate of Dragonblight,3,57,60,tank,armor,,6,4,27226,16407,60,173,0.0,,0,,0,0,0,48
200001,Warrior,First Knight's Wolfsworn Carapace,2,62,99,tank,armor,,5,4,44424,31765,99,588,0.0,,0,,0,0,0,13
200002,Warrior,Gorget of Dragon Forge,2,43,47,tank,neck,,2,0,17918,9243,45,0,0.0,,0,,0,0,0,28
200003,Warrior,"Brutish Girdle, Ashcaller's Oath",2,14,19,strength_dps,armor,,6,3,26987,14725,17,23,0.0,,0,,0,0,0,22
200004,Warrior,Relentless Greaves,2,23,26,strength_dps,armor,,8,3,6907,1955,27,37,0.0,,0,,0,0,0,4
200005,Warrior,"Girdle, East Scar",3,66,113,strength_dps,armor,,6,4,38701,23524,114,384,0.0,,0,,0,0,0,52
200006,Warrior,"Shoulderplates, Star Moon",2,64,105,tank,armor,,3,4,39620,24996,108,414,0.0,,0,,0,0,0,33
200007,Warrior,"Handplates, Spider Cleaver",3,73,155,strength_dps,armor,,10,4,56375,39179,154,560,0.0,,0,,0,0,0,53
200008,Warrior,The Corrupted Cuirass,4,79,189,strength_dps,armor,,5,4,54255,39629,200,1529,0.0,2|8,0,,0,0,2927,68
200009,Warrior,Armplates of the Northern King,3,69,121,strength_dps,armor,,3,4,42360,27803,115,511,0.0,,0,,0,0,0,52
200010,Warrior,Wargrips of Blue Dragon,3,44,48,tank,armor,,10,4,18573,9640,48,138,0.0,,0,,0,0,0,46
200011,Warrior,Doomforged Wargrips of Valiance Keep,2,54,60,strength_dps,armor,,10,4,26888,14976,61,158,0.0,,0,,0,0,0,10
200012,Warrior,Beastmarked War Halberd of Nameless Dead,2,3,8,strength_dps,polearm,polearm,17,6,5638,1406,21,0,4.531,,0,,0,0,0,21
200013,Warrior,Crusader Great Pauldrons of Lost Crown,2,62,95,strength_dps,armor,,3,4,44325,31483,102,358,0.0,,0,,0,0,0,13
200014,Warrior,Gloves of the Storm Pact,2,35,41,strength_dps,armor,,10,3,18256,9366,41,54,0.0,,0,,0,0,0,27
200015,Warrior,Consecrated Warhelm,2,27,28,strength_dps,armor,,1,3,15327,6971,31,54,0.0,,0,,0,0,0,24
200016,Warrior,Oathring of Old Gods,3,39,40,strength_dps,finger,,11,0,12643,6440,48,0,0.0,,0,,0,0,0,44
200017,Warrior,"Warbracers, Unquiet Wrath",2,69,122,tank,armor,,9,4,44348,25029,120,231,0.0,,0,,0,0,0,14
200018,Warrior,"Harness, Violet Glaive",2,39,40,strength_dps,armor,,5,3,27112,15578,41,112,0.0,,0,,0,0,0,6
200019,Warrior,The Illusory Battleplate Legguards,2,44,45,tank,armor,,7,4,26691,14840,47,197,0.0,,0,,0,0,0,7
200020,Warrior,Unyielding War Cleaver of the Lost King,2,39,40,strength_dps,2h_sword,2h_sword,17,8,20252,3854,40,0,28.286,,0,,0,0,0,6
200021,Warrior,"Wargrips, Hidden Promise",2,21,23,strength_dps,armor,,10,3,6842,1448,20,29,0.0,,0,,0,0,0,23
200022,Warrior,Firecaller's Mournful Greaves,3,40,45,tank,armor,,7,4,16092,7921,45,227,0.0,,0,,0,0,0,45
200023,Warrior,Marauding Battleplate of the Mimiron Forge,4,62,96,strength_dps,armor,,5,4,43829,31320,100,663,0.0,2,0,,0,0,2973,66
200024,Warrior,Wyrmforged Circle,2,46,51,tank,finger,,11,0,31576,21753,50,0,0.0,,0,,0,0,0,9
200025,Warrior,Soulwarden's Warmaster Sollerets,2,78,189,tank,armor,,8,4,56196,44243,187,715,0.0,,0,,0,0,0,16
200026,Warrior,Flamewarden's Neckguard,2,16,19,tank,neck,,2,0,35358,31154,26,0,0.0,,0,,0,0,0,22
200027,Warrior,Blademaster's Witchbound Handplates,3,75,166,strength_dps,armor,,10,4,55300,41127,167,605,0.0,,0,,0,0,0,54
200028,Warrior,Duskkeeper's Warplate of the Wind Spirit,3,46,52,strength_dps,armor,,5,4,28355,13067,54,307,0.0,,0,,0,0,0,47
200029,Warrior,The Ancestral Waistplate,3,64,103,tank,armor,,6,4,43345,30962,109,329,0.0,,0,,0,0,0,52
200030,Warrior,The Fel Iron Boots,4,70,133,tank,armor,,8,4,46044,32789,136,584,0.0,,0,,0,0,0,67
