reference_entry,displayid,item_level,quality,source,earliest_expansion
210,14444,5,1,item_template.sql,Classic
720,2368,28,3,item_template.sql,Classic
727,26577,10,2,item_template.sql,Classic
744,18059,44,2,item_template.sql,Classic
789,19699,22,2,item_template.sql,Classic
821,17102,13,2,item_template.sql,Classic
826,19271,15,2,item_template.sql,Classic
832,6847,15,2,item_template.sql,Classic
862,18397,50,3,item_template.sql,Classic
863,19213,37,2,item_template.sql,Classic
864,26579,38,2,item_template.sql,Classic
865,5212,31,2,item_template.sql,Classic
866,20357,42,2,item_template.sql,Classic
880,20382,23,2,item_template.sql,Classic
886,20093,26,2,item_template.sql,Classic
888,17182,27,3,item_template.sql,Classic
890,20386,24,3,item_template.sql,Classic
892,16950,22,2,item_template.sql,Classic
897,17011,29,2,item_template.sql,Classic
935,8274,20,3,item_template.sql,Classic
937,20329,38,3,item_template.sql,Classic
1009,8583,13,2,item_template.sql,Classic
1020,13552,1,1,item_template.sql,Classic
1021,13551,1,1,item_template.sql,Classic
1022,15299,1,1,item_template.sql,Classic
1023,15297,1,1,item_template.sql,Classic
1024,15304,1,1,item_template.sql,Classic
1027,15294,1,1,item_template.sql,Classic
1076,6012,25,2,item_template.sql,Classic
1121,703,24,3,item_template.sql,Classic
1156,9839,22,3,item_template.sql,Classic
1162,13219,10,1,item_template.sql,Classic
1190,15120,20,2,item_template.sql,Classic
1207,5223,39,2,item_template.sql,Classic
1211,14260,15,2,item_template.sql,Classic
1215,16942,22,2,item_template.sql,Classic
1216,9559,33,2,item_template.sql,Classic
1219,20122,16,2,item_template.sql,Classic
1265,20156,39,3,item_template.sql,Classic
1280,15298,38,2,item_template.sql,Classic
1282,15324,33,2,item_template.sql,Classic
1300,20391,20,2,item_template.sql,Classic
1302,17174,18,2,item_template.sql,Classic
1304,16818,20,2,item_template.sql,Classic
1306,11387,20,2,item_template.sql,Classic
1310,16971,20,2,item_template.sql,Classic
1314,17179,20,2,item_template.sql,Classic
1317,20377,25,2,item_template.sql,Classic
1319,14437,25,2,item_template.sql,Classic
1355,23014,15,2,item_template.sql,Classic
1391,20410,18,2,item_template.sql,Classic
1406,5638,21,2,item_template.sql,Classic
1436,17144,17,2,item_template.sql,Classic
1440,8570,19,2,item_template.sql,Classic
1444,6504,40,3,item_template.sql,Classic
1446,6841,19,2,item_template.sql,Classic
1447,14438,46,4,item_template.sql,Classic
1448,6842,20,2,item_template.sql,Classic
1454,8457,27,3,item_template.sql,Classic
1462,9846,25,2,item_template.sql,Classic
1473,20402,19,2,item_template.sql,Classic
1484,9122,22,3,item_template.sql,Classic
1486,9889,24,3,item_template.sql,Classic
1489,8676,25,3,item_template.sql,Classic
1521,19306,44,2,item_template.sql,Classic
1539,20395,19,2,item_template.sql,Classic
1566,20078,17,2,item_template.sql,Classic
1602,8489,39,3,item_template.sql,Classic
1607,20272,54,3,item_template.sql,Classic
1608,19743,47,2,item_template.sql,Classic
1613,28470,44,2,item_template.sql,Classic
1625,26586,41,2,item_template.sql,Classic
1640,8526,42,2,item_template.sql,Classic
1677,8678,46,2,item_template.sql,Classic
1713,23949,45,3,item_template.sql,Classic
1716,16667,40,3,item_template.sql,Classic
1717,12960,30,3,item_template.sql,Classic
1718,17137,43,3,item_template.sql,Classic
1726,20749,36,3,item_template.sql,Classic
