set_id,set_name,entry,name,slot,profile_id,encounter,atomic_profile
903,Harness of the Drowned Hall,260233,Handguards of the Drowned Hall,hands,,,
903,Harness of the Drowned Hall,260635,Legguards of the Drowned Hall,legs,,,
903,Harness of the Drowned Hall,260776,Shoulderpads of the Drowned Hall,shoulder,,,
903,Harness of the Drowned Hall,260960,Tunic of the Drowned Hall,chest,,,
903,Harness of the Drowned Hall,260995,Headguard of the Drowned Hall,head,,,
902,Raiment of the Raven Court,280117,Mantle of the Raven Court,shoulder,map_109_difficulty_0,boss_000493,map_109_difficulty_0
902,Raiment of the Raven Court,280192,Leggings of the Raven Court,legs,map_109_difficulty_0,boss_000493,map_109_difficulty_0
902,Raiment of the Raven Court,280239,Gloves of the Raven Court,hands,map_109_difficulty_0,boss_000493,map_109_difficulty_0
902,Raiment of the Raven Court,280402,Cowl of the Raven Court,head,map_109_difficulty_0,boss_000493,map_109_difficulty_0
902,Raiment of the Raven Court,280830,Robes of the Raven Court,chest,map_109_difficulty_0,boss_000493,map_109_difficulty_0
904,Raiment of the Quel'Thalas Spires,340059,Robes of the Quel'Thalas Spires,chest,,,
904,Raiment of the Quel'Thalas Spires,340193,Cowl of the Quel'Thalas Spires,head,,,
904,Raiment of the Quel'Thalas Spires,340343,Mantle of the Quel'Thalas Spires,shoulder,,,
904,Raiment of the Quel'Thalas Spires,340703,Gloves of the Quel'Thalas Spires,hands,,,
904,Raiment of the Quel'Thalas Spires,340789,Leggings of the Quel'Thalas Spires,legs,,,
905,Raiment of the Hallowed Flame,360102,Mantle of the Hallowed Flame,shoulder,,,
905,Raiment of the Hallowed Flame,360350,Leggings of the Hallowed Flame,legs,,,
905,Raiment of the Hallowed Flame,360661,Gloves of the Hallowed Flame,hands,,,
905,Raiment of the Hallowed Flame,360843,Cowl of the Hallowed Flame,head,,,
905,Raiment of the Hallowed Flame,360871,Robes of the Hallowed Flame,chest,,,
