map_id,instance,difficulty_a,difficulty_b,stock_item_count_a,stock_item_count_b,band_a,band_b,identical,reason
249,OnyxiaLairInstance,0,1,76,33,"[63, 76]","[245, 245]",False,sibling progression era conflict (legacy-era profile excluded)
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
533,Stratholme Raid,0,1,219,425,"[200, 213]","[213, 226]",False,independently filtered source evidence
540,HellfireMilitary,0,1,26,15,"[112, 115]","[112, 115]",True,sibling progression floor enforced
540,HellfireMilitary,0,1,26,15,"[112, 115]","[112, 115]",True,sibling progression floor enforced
540,HellfireMilitary,0,1,26,15,"[112, 115]","[112, 115]",True,sibling progression floor enforced
540,HellfireMilitary,0,1,26,15,"[112, 115]","[112, 115]",True,sibling progression floor enforced
542,HellfireDemon,0,1,15,26,"[88, 88]","[110, 115]",False,independently filtered source evidence
542,HellfireDemon,0,1,15,26,"[88, 88]","[110, 115]",False,independently filtered source evidence
542,HellfireDemon,0,1,15,26,"[88, 88]","[110, 115]",False,independently filtered source evidence
543,HellfireRampart,0,1,11,16,"[85, 85]","[112, 115]",False,independently filtered source evidence
543,HellfireRampart,0,1,11,16,"[85, 85]","[112, 115]",False,independently filtered source evidence
545,CoilfangPumping,0,1,10,10,"[112, 115]","[112, 115]",True,sibling progression floor enforced
545,CoilfangPumping,0,1,10,10,"[112, 115]","[112, 115]",True,sibling progression floor enforced
