entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets,itemset,special_effect_feature,effect_source_entry,effect_source_spell,socketBonus,DisenchantID
200000,Warrior,Shoulder Drape of the Spider Wing,2,3,6,tank,back,,16,1,23133,2580,12,2,0.0,,0,,0,0,0,1
200001,Warrior,Wargrips of the Violet Crown,2,64,103,strength_dps,armor,,10,4,43996,31428,102,305,0.0,,0,,0,0,0,33
200002,Warrior,The Titanbound Oathring,2,35,41,tank,finger,,11,0,28831,20961,38,0,0.0,,0,,0,0,0,27
200003,Warrior,Starcaller's War Leggings,2,68,117,tank,armor,,7,4,39870,25011,114,619,0.0,,0,,0,0,0,33
200004,Warrior,Duskwarden's Moonforged Surcoat,3,20,23,strength_dps,armor,,5,3,12632,6642,25,66,0.0,,0,,0,0,0,41
200005,Warrior,The Sorrowful Mail,2,4,10,strength_dps,armor,,5,3,3057,6336,13,23,0.0,,0,,0,0,0,1
200006,Warrior,Worldworn Chestplate,4,79,193,strength_dps,armor,,5,4,54253,43739,200,1617,0.0,,0,,0,0,0,68
200007,Warrior,Bonewarden's Blacksteel Seal Ring,2,45,46,strength_dps,finger,,11,0,9843,5008,36,0,0.0,,0,,0,0,0,8
200008,Warrior,"Shawl, Silent Covenant",4,75,167,strength_dps,back,,16,1,48868,34241,164,102,0.0,4,0,,0,0,3015,67
200009,Warrior,Nameless Handguards,2,63,103,strength_dps,armor,,10,4,39804,24969,99,306,0.0,,0,,0,0,0,33
200010,Warrior,Royal Gloves of Undercity Depths,2,8,13,tank,armor,,10,3,6883,2274,17,15,0.0,,0,,0,0,0,21
200011,Warrior,Dwarven Great Pauldrons of Amber Ledge,2,54,61,tank,armor,,3,4,24185,13533,61,215,0.0,,0,,0,0,0,11
200012,Warrior,Shroud of the Iron Banner,2,11,15,strength_dps,back,,16,1,23012,4771,15,5,0.0,,0,,0,0,0,1
200013,Warrior,Great Runeblade of the Ancient Earth,3,51,58,strength_dps,2h_sword,2h_sword,17,8,33123,20669,62,0,49.722,,0,,0,0,0,48
200014,Warrior,"Feathered Leggings, Firekeeper's Oath",2,22,24,strength_dps,armor,,7,3,12795,6671,27,55,0.0,,0,,0,0,0,23
200015,Warrior,Shadowlord's Belt,2,38,40,tank,armor,,6,3,27792,9901,40,54,0.0,,0,,0,0,0,6
200016,Warrior,Bloodcaller's Charmstone,2,14,20,strength_dps,trinket,,12,0,15150,7506,25,0,0.0,,0,,0,0,0,22
200017,Warrior,"Legplates, Ghost Thirst",3,75,165,strength_dps,armor,,7,4,50609,35637,171,1046,0.0,,0,,0,0,0,54
200018,Warrior,Grand Warhammer of War Crown,2,58,84,strength_dps,2h_mace,2h_mace,17,5,40792,25128,81,0,59.286,,0,,0,0,0,13
200019,Warrior,Wildlord's Hammer,2,24,27,strength_dps,1h_mace,1h_mace,13,4,5211,3491,25,0,13.75,,0,,0,0,0,24
200020,Warrior,"Belt, Scourge Ward",2,35,36,strength_dps,armor,,6,3,27110,15575,36,49,0.0,,0,,0,0,0,26
200021,Warrior,Stone of the High Watch,3,52,54,tank,trinket,,12,0,9657,19990,52,0,0.0,,0,on-use,45631,25823,0,47
200022,Warrior,Dreaming Battleplate,3,44,49,strength_dps,armor,,5,4,22892,12628,57,284,0.0,,0,,0,0,0,46
200023,Warrior,Red Shot Skullcrusher,2,78,185,strength_dps,1h_mace,1h_mace,13,4,55574,44052,187,0,62.692,,0,,0,0,0,35
200024,Warrior,Twilight-forged Legplates,4,75,162,tank,armor,,7,4,54828,40674,163,1132,0.0,,0,,0,0,0,67
200025,Warrior,Cryptlord's Fanged Harness,3,23,30,tank,armor,,5,3,23540,2870,29,89,0.0,,0,,0,0,0,42
200026,Warrior,Graveborn Handguards,3,6,12,strength_dps,armor,,10,3,25850,3472,12,16,0.0,,0,,0,0,0,41
200027,Warrior,Helm of Sun Flame,3,76,172,tank,armor,,1,4,50615,35639,171,926,0.0,,0,,0,0,0,54
200028,Warrior,Frost-rimed Sollerets of the Lost Oath,3,79,197,strength_dps,armor,,8,4,59533,46331,200,864,0.0,8,0,,0,0,3263,54
200029,Warrior,Shadowmage's Warcloak,2,58,81,strength_dps,back,,16,1,40776,25031,84,34,0.0,,0,,0,0,0,13
200030,Warrior,Brittle Footguards,2,13,19,strength_dps,armor,,8,3,11447,2037,18,28,0.0,,0,,0,0,0,2
